Category,Metric,APPS,CAKE,CATO,CBRL,CMP,CRNC,ESLT,FNKO,GLT,HELE,HXL,LPRO,MAGN,MATV,MCS,MEI,MMI,MODV,MRCY,MSGS,RMBL,RUTH,SCHL,SMTC,SWM,TBI,TITN,TTEC,TUP,WEST,WLFC,WWW,ZIP,ZUMZ
Revenue & Margin,Others %,-,921.9%,-,-,120.2%,-,-,-,-,-,-,-,-,-,2577.1%,448.8%,-,-,2146.3%,586.4%,2963.4%,-,377.9%,1111.4%,-,-,288.3%,-,-,-,192.0%,285.3%,-,272.6%
Revenue & Margin,Revenue Total,532403000,3751806000,660062000,3361161000,1332800000,315961000,7835844387,928842000,3294000000.0,1802156000,1893900000,16948000,3294000000,1987000000,758458000,978200000,755156000,2692713000,942545000,1071032000,1095200000,516583000,1620400000,1026620000,1987000000,1615997000,2545194000,2136899000,1142000000,1078457000,686060000,1874300000,448952000,916910000.0
Revenue & Margin,Rev-CoGS / Sale (%),60.05976675563436,78.32651794895578,32.21788256254715,25.353233599937642,16.4765906362545,78.5856482287371,24.230488090727828,37.63148091925214,0.0,46.71987330730525,22.95791752468451,-36.74769884352136,10.018214936247723,17.463512833417212,102.57047852353062,15.293396033530977,37.696846744248866,7.533294487752687,28.158867746367548,25.859544812853397,26.899196493791088,26.050218454730413,51.993334979017526,52.05178157448715,18.263714141922495,22.381229668124384,13.617822452826777,20.780018147792667,61.99649737302977,13.89781882819621,76.88292569163046,47.30832844261858,89.24784832231508,35.136381978602046
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.6026318409175,71.79859512991877,-2.3773524305292533,19.63491186527512,8.478391356542616,49.90837508426673,14.573646037363556,0.32244450617004833,94.04978749241045,12.219419406533063,14.034531918263902,-480.81189520887426,4.068002428658167,12.018117765475592,87.33522489050152,-0.25557145777959517,-0.2135982498980343,45.84012481092489,10.24959020524219,0.4221162392907028,3.688823959094229,15.54038750791257,2.0982473463342384,30.957121427597357,18.263714141922495,-0.5795184025712918,13.617822452826777,7.6620841696308535,3.93169877408056,-3.184549778062547,48.00163251027607,8.365789894894093,23.433908302001104,1.323794047398327
Revenue & Margin,Op. Income / Rev (%),0.12020969077935323,4.99186258564542,-2.3773524305292533,-0.38918100025556646,4.606842737094838,17.7563053668016,8.03624701946241,-4.962307905973244,1.2446873102610807,-40.45765183480231,9.060668461904008,-497.52183148454094,2.94474802671524,-19.260191243080023,2.2498279403737587,-2.6272745859742384,-1.815651335618071,-0.4546715524454333,-1.401418499912471,0.4221162392907028,-4.218407596785975,10.44672395336277,2.0982473463342384,7.020124291363892,-19.345747357825868,-1.7810676628731366,-1.5843585989908826,4.45538137272749,2.434325744308231,-4.316815598582048,17.431565752266565,8.01365843248146,-4.31181952636362,1.3783250264475249
Revenue & Margin,Net Profit / Rev (%),-7.875049539540536,3.9561480524312826,-1.456075338377304,-0.11936351754646683,-2.8211284513805523,0.10602574368355588,5.916173689833639,-7.393830167025178,-4.037644201578628,-43.975105373785624,5.7764401499551195,-887.1489261269767,-4.037644201578628,-16.980372420734778,1.6732633843930713,-6.583520752402372,-0.25279544888738226,-16.737283178712325,-3.2263711546928793,-1.5463590256873743,-9.349890339663988,7.656078500453944,-0.20982473463342383,2.7779509458222127,-16.980372420734778,-2.9678272917585864,-2.42680911553304,-9.006789745327225,-14.054290718038528,-8.576234379303022,17.874675684342478,5.111241530171264,-7.349115272902225,0.9359697244004319
EBITDA,Net Income,-41927000,148427000,-9611000,-4012000,-37600000,335000,463582164,-68677000,-133000000.0,-792500000,109400000,-150354000,-133000000,-337400000,12691000,-64400000,-1909000,-450687000,-30410000,-16562000,-102399999,39550000,-3400000,28519000,-337400000,-47960000,-61767000,-192466000,-160500000,-92491000,122631000,95800000,-32994000,8582000.0
EBITDA,D & A,77894000,109031000,7800000,133123000,102800000,10288000,170072000,60493000,49000000.0,53979000,122300000,2150000,46000000,141400000,16835000,60500000,12098000,13212000,77098000,3246000,11100000,23853000,61600000,46345000,141000000,28852000,38089000,859000,8400000,39309000,106890000,25900000,12462000,15996000.0
EBITDA,Net Int Inc,-45165000,-10448000,-473000,-17446000,-68500000,-5214000,-150994781,-18194000,0.0,-58811000,-37700000,-257000,-150000000,-67800000,-11472000,-17800000,-773000,-65761000,-25497000,-18257000,-45400000,-1434000,-18100000,-49031000,-71100000,-1059000,-47021000,-38493000,-124700000,-51676000,-125866000,-32799999,-74027000,4631000.0
EBITDA,Tax Provision,-2276000,14468000,-198000,-23747000,14200000,39522000,38033889,4625000,7000000.0,6645000,25600000,65962000,7000000,-125600000,-3984000,10600000,4929000,-6867000,-6586000,9678000,500000,7103000,2800000,-12431000,-125600000,2329000,-19737000,14835000,50800000,4053999,50527000,20500000,2376000,8903000.0
EBITDA,EBITDA,78856000,282374000,-1536000,122810000,147900000,55359000,822682834,14635000,-77000000.0,-673065000,295000000,-81985000,70000000,-253800000,37014000,24500000,15891000,-378581000,65599000,14619000,-45399999,71940000,79100000,111464000,-250900000,-15720000,3606000,-138279000,23400000,2547999,405914000,174999999,55871000,28850000.0
EBITDA,Stock-Based Comp,20339000,27234000,1289000,2190000,8600000,24925000,23227000,11978000,5000000.0,20024000,13400000,7895000,14000000,8600000,6216000,7800000,24226000,983000,18005000,-1639000,2000000,8387000,9400000,58529000,11100000,5629000,1089000,-8102000,4600000,11180000,34554000,24400000,47646000,5444000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,5.0,50.01,3.85,30.12,19.64,10.69,509.8,3.44,20.0,19.56,73.9,2.11,15.08,12.15,15.51,7.99,27.29,0.17,74.22,258.65,4.4,16.22,29.71,70.66,23.41,4.7,16.4,3.6,1.4,4.86,137.09,18.21,3.9,21.65
Capital Structure,O/S Shares,115921000,46620000,18532142,22345041,42083000,44953000,46349000,54649000,45442000.0,23035000,76900000,118173000,35500000,54681100,30768000,35472733,38826000,14400841,59415000,24165000,38052057,32030543,25400000,87682000,54681100,29945000,22737000,48211000,46300000,95569000,7484307,81700000,89867000,16205000.0
Capital Structure,Market Capitalization,579605000,2331466200,71348746,673032634,826510120,480547570,23628720200,187992560,908840000.0,450564600,5682910000,249345030,535340000,664375365,477211680,283427136,1059561540,2448142.97,4409781300,6250277249,167429050,519535407,754634000,6195610120,1280084551,140741500,372886799,173559600,64819999,464465340,1026023646,1487757000,350481300,350838250.0
Capital Structure,Cash,40423000,215729000,22769000,8571000,46700000,92130000,142145851,39177000,264000000.0,27137000,71000000,222134000,305000000,84200000,23448000,133699999,161921000,78227000,334990000,81302000,35400000,16000000,99300000,164700000,84200000,24510000,48790000,82901000,129400000,48384000,170967000,206300000,188028000,80140000.0
Capital Structure,Debt,367119000,3462248000,159981000,1246601000,896900000,200403000,1065959805,312235000,1975000000.0,946884000,993000000,184197000,2037000000,1122699999,335482000,364100000,78255000,34985000,674715000,2028903000,583100000,251513000,386100000,534654000,1070200000,170598000,1051648000,1062901000,842000000,598744000,2239451000,762000000,568369000,209056000.0
Capital Structure,Enterprise Value,906301000,5577985200,208560746,1911062634,1676710120,588820570,24552534154,461050560,2619840000.0,1370311600,6604910000,211408030,2267340000,1702875364,789245680,513827137,975895540,-40793857,4749506300,8197878249,715129050,755048407,1041434000,6565564120,2266084551,286829500,1375744799,1153559600,777419999,1014825340,3094507646,2043457000,730822300,479754250.0
Capital Structure,netCommonStockIssuance,43898000,-11174000,82000,0,0,-42000,21000,0,0.0,943000,-353400000,0,0,1100000,-1827000,0,-17011000,0,-12273000,0,0,0,3000000,-216723000,1100000,-33000,0,-62000,0,11916000,118000,-14500000,-7664000,-5237000.0
Capital Structure,netDebtIssuance,-45479000,-175193000,0,-19500000,50700000,-27612000,-187542000,-15793000,0.0,-2045999,234900000,-1875000,-27000000,-13400000,-3704000,0,0,0,0,0,-15000000,0,-50800000,175568000,0,-2400000,-101586000,21948000,2000000,16134000,-566317000,-27500000,0,0.0
Liquidity & Cash Flow,DSO,148.0970242466703,11.413455279937182,14.324213104223544,5.165029286011589,64.0078218787515,68.5623344336801,155.21468216801765,43.14029861914082,57.730722525804495,78.92537951764442,54.39153334389355,545.5724864290771,56.87196417729205,38.7961751383996,9.838100791342434,85.2705223880597,15.791689068219016,44.29597305765598,146.18762234163887,31.311616973162334,9.9981738495252,25.534589794863557,67.8293168353493,57.47020319105414,36.39437594363362,53.71032402906688,18.577048056061738,77.35735287442223,29.308669001751316,30.99662295297819,69.51418243302335,42.23410073093955,20.553363722625136,6.316274225387443
Liquidity & Cash Flow,DIO,0.0,28.133023610737048,83.92865005677196,26.868400253806502,86.54487064319079,0.0,180.14068492544018,60.0868109199817,0.0,187.3008859695623,90.26189089164554,0.0,30.231950067476387,75.10876524390244,-0.0,86.44852763697804,0.0,0.0,185.36093245807706,0.0,120.14317386959779,8.133177099148718,133.00986630672324,130.2886336303393,75.84408287667016,0.0,180.90675222437613,0.0,161.53773041474653,74.4799289233503,147.74552009180502,106.56920818144998,0.0,97.42118628108706
Liquidity & Cash Flow,DPO,211.51515098075177,27.046862375437648,68.83378333676052,20.89990356708136,29.49312791951132,24.191816913610747,89.58146810471425,39.46634760618327,0.0,101.2197403954005,31.256767870605167,11.118829823955815,45.68657219973009,38.703353658536585,-661.3003949528108,56.2631245474294,8.964100419566151,24.261365562231283,48.063934813589604,4.442942858797987,22.407881588808394,7.67335842853104,72.75131765008356,50.86814062480955,39.08226094452312,10.960982152039715,7.231040610499256,16.156705319774225,55.75921658986175,29.779196618474543,94.16763873213239,89.00478432563791,70.71345707656613,36.836099663551025
Liquidity & Cash Flow,CCC,-63.41812673408148,12.499616515236582,29.419079824234984,11.133525972736734,121.05956460243095,44.370517520069356,245.7738989887436,63.76076193293925,57.730722525804495,165.00652509180622,113.39665636493393,534.4536566051213,41.417342045038346,75.20158672376546,671.1384957441533,115.45592547760835,6.827588648652865,20.034607495424694,283.48461998612635,26.868674114364346,107.7334661303146,25.994408465481236,128.087865491989,136.8906961965839,73.15619787578066,42.74934187702716,192.2527596699386,61.20064755464801,135.0871828266361,75.69735525785394,123.09206379269597,59.79852458675161,-50.160093353940994,66.90136084292348
Liquidity & Cash Flow,OCF,45980000,301281000,-3234000,123037000,164800000,89813000,913119000,26576000,2000000.0,94790000,230500000,-12022000,163000000,133800000,84200000,68500000,66657000,-177005000,118686000,3477000,46300000,80138000,86300000,153177000,-82700000,-58042000,210370000,0,10000000,-52923000,277039000,140000000,10958000,-4195000.0
Liquidity & Cash Flow,CapEx,-30116000,-146204000,-3725000,-144348000,-70700000,-15245000,-176436000,-36059000,-15000000.0,-14091000,-70600000,-354000,-66000000,-40000000,-83211000,-25700000,-7872000,-23541000,-22462000,-3957000,-5400000,-45169000,-41300000,-9986000,13900000,-15678000,-39436000,28724000,-15900000,-80029000,-688721000,-14500000,-1078000,692000.0
Liquidity & Cash Flow,FCF,16690000,155077000,-7489000,-21311000,94100000,74568000,736683000,-9483000,-13000000.0,80699000,159900000,-13313000,97000000,93800000,989000,42799999,58785000,-200546000,96224000,2768000,40900000,34969000,45000000,142798000,-68800000,-73720000,170934000,28724000,-5900000,-151051000,-411682000,125500000,6228000,-3503000.0
BQR,Total Debt / Adj Ebitda,4.655562037130973,12.261213851133602,999.0,10.150647341421708,6.064232589587559,3.6200617785725897,1.2957117384073191,21.334813802528185,999.0,999.0,3.3661016949152542,999.0,29.1,999.0,9.063651591289782,14.861224489795918,4.924485557862941,999.0,10.285446424488178,138.78534783500925,999.0,3.496149569085349,4.881163084702908,4.796651833775928,999.0,999.0,291.63838047698283,999.0,35.98290598290598,234.9859634952761,5.517057800420779,4.354285739167347,10.172880385172988,7.24630849220104
BQR,Adj Ebitda / Interest Expense,1.7459537252297133,27.026607963246555,-999,7.039435973862203,2.1591240875912407,10.617376294591484,5.448419001978618,0.8043860613389029,-999.0,-999.0,7.824933687002653,-999.0,0.4666666666666667,-999.0,3.2264644351464433,1.3764044943820224,20.55756791720569,-999.0,2.572812487743656,0.8007339650544997,-999.0,50.1673640167364,4.370165745856354,2.2733372764169606,-999.0,-999.0,0.07668913889538717,-999.0,0.18765036086607859,0.04930720256985835,3.224969411914258,5.335365985834329,0.7547381360854823,-999
BQR,Net Income before extraordinary,-41927000,148427000,-9611000,-4012000,-37600000,335000,463582164,-68677000,-133000000.0,-792500000,109400000,-150354000,-133000000,-337400000,12691000,-64400000,-1909000,-450687000,-30410000,-16562000,-102399999,39550000,-3400000,28519000,-337400000,-47960000,-61767000,-192466000,-160500000,-92491000,122631000,95800000,-32994000,8582000.0
BQR,(NCO-CAPEX) / Total Debt (%),4.546209812077283,4.479084109514974,-4.681180890230715,-1.7095285500332504,10.491693611327907,37.20902381700873,69.10982914594983,-3.03713549089628,-0.6582278481012658,8.52258565991188,16.102719033232628,-7.227587854308159,4.761904761904762,8.354858829923273,0.29479972099844404,11.755012084592146,75.11980065171555,-573.234243247106,14.261428899609465,0.1364284049064938,7.0142342651346254,13.903456282577839,11.655011655011656,26.70848810632671,-6.428704914969165,-43.21269885930668,16.253917660662122,2.7024153707635987,-0.7007125890736342,-25.227977232339697,-18.383166231366527,16.46981627296588,1.0957670105160555,-1.675627583039951
BQR,Score: Operating Leverage,55,75,75,75,65,48,35,75,75,75,48,75,75,75,75,75,58,75,75,75,75,48,58,58,75,75,75,75,75,75,65,55,75,75
BQR,Score: ICR,65,25,75,48,65,42,48,75,75,75,45,75,75,75,58,75,25,75,58,75,75,15,55,65,75,75,75,75,75,75,58,48,75,75
BQR,Score: Net Income,75,42,65,65,75,58,35,75,75,75,42,75,75,75,55,75,65,75,75,65,75,48,65,48,75,75,75,75,75,75,42,42,75,55
BQR,Score: FCF/Debt,75,75,75,75,58,35,15,75,75,58,52,75,75,58,75,58,15,75,55,75,58,55,58,42,75,75,52,75,75,75,75,52,75,75
BQR,BQR,66.5,59.25,72.5,68.45,65.75,46.349999999999994,31.95,75.0,75.0,70.75,47.05,75.0,75.0,70.75,67.45,70.75,44.05,75.0,67.45,72.5,70.75,44.8,59.3,52.55,75.0,75.0,69.25,75.0,75.0,75.0,60.7,49.95,75.0,70.0
