Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Capital Structure,O/S Shares,141527000,141846000,142503000,142880000,144715000,144394000,144914000,145291000,147437000,149690000,149616000,149081000,148548000
Capital Structure,Market Capitalization,26878807840,12571810980,10381343550,12450563200,9257418550,7242803039,6754441540,7470863220,6221841400,6224110200,6888320640,7607603430,7115449200
Capital Structure,Cash,1091952000,1055976000,949771000,874749000,934863000,883365000,1091289000,1264751000,1010618000,1117922000,1167695000,1054549000,994352000
Capital Structure,Debt,1582210000,1587239000,1588629000,1578428000,1632253000,1596628000,1601224000,1608293000,1657165000,1610571000,1619656000,1627740000,1186306000
Capital Structure,Enterprise Value,27369065840,13103073980,11020201550,13154242200,9954808550,7956066039,7264376540,7814405220,6868388400,6716759200,7340281640,8180794430,7307403200
Capital Structure,netCommonStockIssuance,-42204000,-63096000,-103799000,-89532000,-141804000,-24605000,-69032000,-21261000,-193096000,-48888000,-8701000,1335000,-20058000
Capital Structure,netDebtIssuance,-5177000,-2883000,-3985000,-3915000,-6875000,-3940000,-2925000,-981000,-3113000,-3949000,-2684000,494855000,-2645000
Liquidity & Cash Flow,DSO,80.08667562496501,89.60875433626876,93.18921533017021,96.99922595496834,100.08439447017463,98.53900550452326,97.14524176609804,96.9527371954859,100.49388682310399,102.38818071215438,103.33289744442075,100.5707819178363,98.81252510212211
Liquidity & Cash Flow,DIO,108.40874995858019,111.56243572899677,122.03972808772947,135.10942826945288,142.1081994639711,151.93451950607366,156.21846209269094,151.36068857555185,156.3565679460937,159.1713074218767,151.57394266250355,136.13932849388854,114.76519652391231
Liquidity & Cash Flow,DPO,58.00220266237877,55.87264201824254,54.56929643656733,54.70134597384013,52.39238061362076,48.77079451918938,49.94935368609958,51.49342447806836,56.53718485236462,66.05758157806682,70.31249384720392,69.7312620848903,67.10319550153356
Liquidity & Cash Flow,CCC,130.49322292116642,145.298548047023,160.65964698133237,177.4073082505811,189.80021332052496,201.70273049140752,203.4143501726894,196.82000129296938,200.31326991683304,195.50190655596427,184.5943462597204,166.9788483268345,146.47452612450087
Liquidity & Cash Flow,OCF,806093000,784376000,450652000,352027000,511978000,358090000,526155000,697645000,168332000,-41647000,-255725000,-378984000,-167756000
Liquidity & Cash Flow,CapEx,-140801000,-83543000,-158763000,-146926000,-136641000,-75873000,-81663000,-92766000,-106197000,-107332000,-103603000,-95044000,-90818000
Liquidity & Cash Flow,FCF,665292000,700833000,291889000,205101000,375337000,282217000,444492000,604879000,62135000,-148979000,-359328000,-474028000,-258574000
BQR,Total Debt / Adj Ebitda,4.7799751063418405,4.2724106280063205,4.945718261714189,5.508174524795768,5.663061881565983,5.084753967318783,4.354193009792165,3.356442235050066,3.25674424820327,3.2113281810786236,3.6073721839259663,4.03425200753445,3.2980611512991453
BQR,Adj Ebitda / Interest Expense,9.627083151557455,11.162795589074847,9.132374264350496,8.06827716304868,8.256789274664833,8.897537615822731,9.679739938406465,11.180316393672127,11.831310453869047,11.905991833634033,11.013442244953026,10.66138195270181,9.72419572857529
BQR,Net Income before extraordinary,123338000,140877000,104799000,78981000,83956000,138127000,153630000,228133000,254827000,221273000,202052000,183320000,152902000
BQR,(NCO-CAPEX) / Total Debt (%),42.04827424930951,44.15422000089463,18.37364167467672,12.994004161102058,22.995025893657417,17.67581427859213,27.759513971811565,37.61000016787986,3.7494757613152583,-9.250073421165537,-22.185451725551598,-29.1218499268925,-21.79656850761945
BQR,Score: Operating Leverage,58,55,58,65,65,58,55,48,48,45,48,52,48
BQR,Score: ICR,45,42,45,45,45,45,45,42,42,42,42,42,45
BQR,Score: Net Income,42,42,42,42,42,42,42,35,35,35,35,42,42
BQR,Score: FCF/Debt,25,25,48,55,45,48,42,35,75,75,75,75,75
BQR,BQR,43.8,42.3,49.55,53.75,51.25,49.55,47.0,40.599999999999994,50.599999999999994,49.55,50.599999999999994,53.75,52.8
