Category,Metric,GE,SLAB,THS,HOOD,OI,CNDT,UPS,SMG,USM,HBI,WDC,NWL,DLX,MN,VFC,GDOT,EMBC,FMC,FTRE,TTWO,CRK,MXL,IRWD,GEL,PII,AMCX,TRN,WHR,FUN,VRTV
Capital Structure,O/S Shares,1067000000,32920000,50500000,897877147,152946000,140986478,849000000,57900000,86000000,354183000.0,345000000,419200000,45900000,21833563,390915000.0,55400000,58309000,125200000,91200000,183400000,291097000,87243000,162215000,122464318,56900000,43870000.0,79900000.0,55900000,100652000,13755656
Capital Structure,Market Capitalization,328668010000,4343135600,1020605000,101549905325,2257482960,270694037,84212310000,3354147000,4410940000,2334065970.0,64756499999,1559424000,1024946999,272264530,7231927500.0,744022000,692710920,1736524000,767904000,46955901999,6747628460,1520645490,212501650,1910443360,3598925000,417642400.0,2112556000.0,4032626000,2254604800,2323330298
Capital Structure,Cash,12392000000,364222000,21000000,4261000000,759000000,233000000,5887000000,8300000,0,217573000.0,1975000000,203000000,36900000,61582000,1466469000.0,1637321000,204400000.0,584500000,131300000.0,2173200000,23930000,74225000,140407000,6437000,138000000,0.0,201300000.0,669000000,70683000,40200000
Capital Structure,Debt,20494000000,0,1632900000,0,4999000000,789000000,32290000000,2528500000,531052000,2665372000.0,4655000000,5539000000,1509000000,14779000,5338701000.0,66549000,1419800000.0,4074900000,1187300000.0,3884100000,2809066000,157340000,598240000,3040415000,1539500000,0.0,0.0,7858000000,5241156000,0
Capital Structure,Enterprise Value,336770010000,3978913600,2632505000,97288905325,6497482960,826694037,110615310000,5874347000,4941992000,4781864970.0,67436499999,6895424000,2497046999,225461530,11104159500.0,-826750000,1908110920,5226924000,1823904000,48666801999,9532764460,1603760490,670334650,4944421360,5000425000,417642400.0,1911256000.0,11221626000,7425077800,2283130298
Capital Structure,netCommonStockIssuance,-1997000000,6491000,0,0,-10000000,-7000000,26000000,-7600000,21000000,0.0,-615000000,0,0,0,704000.0,1000,-4800000,-200000,0,27400000,0,-18609000,0,0,600000,0.0,0.0,0,0,0
Capital Structure,netDebtIssuance,1453000000,0,-11500000,0,2186000000,-28000000,-6099000000,413900000,0,-26839000.0,-32000000,-107000000,290819000,0,-284000.0,-200000,-37900000,0,-50000000,0,0,0,0,0,-196900000,0.0,0.0,-1074000000,-263893000,0.0
Liquidity & Cash Flow,DSO,109.81255719701922,27.951012979698355,19.773568645083934,1068.1329644533869,43.991985683162156,78.32141683103222,42.7046418380122,47.76001253432017,90.5355668203711,44.04108313213959,50.96364356251165,49.43763881177124,27.097307901447536,28.750570149068064,55.22917813669787,21.69414464205872,58.61060942854497,272.8631323181634,93.4156128845248,51.02632220883963,35.140524914274096,59.279786738117494,88.3452315280527,122.20346813541339,12.8773245246085,69.45914786783118,61.16614122119709,33.318063248744046,23.62193945198581,47.73477896879463
Liquidity & Cash Flow,DIO,142.81951253193398,95.21506737730374,80.77558431629532,0.0,67.93131816472358,0.0,0.0,108.78032170190686,38.55177514792899,173.63251611186126,79.31685100845803,111.65313285834031,9.300192250901894,0.0,150.04071502813116,0.0,167.65672880490297,224.1398095586889,0.0,0.0,0.0,150.97755827104643,0.0,19.27938302330572,102.65429265195456,0.0,111.3466576189875,68.56748081744283,37.77843723157337,36.370163109491585
Liquidity & Cash Flow,DPO,118.71068666712698,60.78415161342482,73.1215869375273,121.5548406862745,75.70421210981571,20.448795180722893,30.040599055499715,46.20697669390755,70.94822485207101,106.86008481219619,82.86414281067013,72.05155071248953,44.66828862776554,8.961542717336513,83.12706549246447,28.150030401653286,62.215909090909086,134.1931422816334,15.590953839422445,24.66073315382256,1035.3970205070043,51.39632916994493,36.44411636045494,168.52293203305467,48.05367745478258,31.43266567493414,57.46181037747758,99.48558459317785,57.193361599990254,34.636365608190175
Liquidity & Cash Flow,CCC,133.9213830618262,62.381928743577284,27.427566023851966,946.5781237671124,36.21909173807002,57.87262165030933,12.664042782512485,110.33335754231946,58.1391171162291,110.81351443180466,47.416351760299534,89.03922095762204,-8.270788475416111,19.78902743173155,122.14282767236456,-6.455885759594565,164.05142914253884,362.8097995952189,77.82465904510236,26.36558905501707,-1000.2564955927302,158.86101583921902,51.90111516759775,-27.04008087433556,67.47793972178047,38.026482192897035,115.05098846270701,2.3999594730090195,4.207015083568926,49.46857647009604
Liquidity & Cash Flow,OCF,8537000000,95708000,233700000,1638000000,600000000,-73000000,8450000000,446200000,144510000,23159000.0,2671000000,264000000,270607000,27699000,-534619000.0,178015000,214200000,-80200000,1500000,667900000,899607000,19619000,67683000,252826000,741000000,254093000.0,182300000.0,481000000,332569000,382800000
Liquidity & Cash Flow,CapEx,-1273000000,-33922000,-132900000,-15000000,-239000000,-59000000,-3685000000,-88100000,-157597000,-31352000.0,-365000000,-247000000,-72008000,-707000,-112714000.0,-80815000,-8400000,0,-14500000,-180100000,-983828000,-19817000,-35000,-163108000,-182900000,-24502000.0,-243500000.0,-389000000,-501274000,-14500000
Liquidity & Cash Flow,FCF,7264000000,65786000,100800000,1595000000,250000000,-147000000,4765000000,358099999,-15087000,-8193000.0,2306000000,17000000,198599000,26992000,-665697000.0,97200000,205800000,-80200001,-13000000,487800000,-84221000,7021000,67648000,116684000,558100000,229591000.0,-374800000.0,92000000,-168705000,368300000
BQR,Total Debt / Adj Ebitda,1.7552243919150394,999.0,999.0,0.0,6.612433862433862,9.506024096385541,2.7118501721676327,6.476690573770492,1.3480735351607123,7.400193238861001,1.9015522875816993,22.067729083665338,3.9824655499113657,0.5195823372240191,5.7889417321605166,2.154874850241233,4.130928135001454,999.0,999.0,999.0,2.4455454509048042,999.0,4.753595550258244,999.0,999.0,0.0,0.0,7.7495069033530575,999.0,0.0
BQR,Adj Ebitda / Interest Expense,33.55172413793103,-999.0,-999.0,-999,2.197674418604651,1.7291666666666667,11.942828485456369,3.189542483660131,3.033645219668091,1.9536452937443385,-999.0,0.7819314641744548,3.1048353313285095,54.91119691119691,6.106149690131892,7.323452691486839,3.320772946859903,-999.0,-999.0,-999.0,6.88896885514313,-999.0,4.142664340498371,-999.0,-999.0,2.66874733801723,4.215127701375246,3.292207792207792,-999.0,37.90909090909091
BQR,Net Income before extraordinary,8703000000,-64907000,-241800000,1883000000,-129000000,-170000000,5572000000,89800000,163920000,330011000.0,3805000000,-285000000,85227000,17824000,223414000.0,-46940000,139500000,-2238900000,-1014900000,-3964900000,395611000,-136681000,28549000,-425867000,-465500000,89400000.0,68780000.0,318000000,-1746114000,271800000
BQR,(NCO-CAPEX) / Total Debt (%),35.44452034741876,999.0,6.173066323718538,999.0,5.001000200040008,-18.631178707224336,14.756890678228554,14.16254692505438,-2.840964726618109,-0.30738673626045443,49.53813104189044,0.3069146055244629,13.160967528164347,182.63752621963596,-12.469269209869593,146.0577920028851,14.494999295675447,-1.9681464821222607,-1.0949212498947192,12.558893952266935,-2.998185161900788,4.462310919028854,11.307836319871624,3.837765568187238,36.25202987983111,999.0,999.0,1.1707813693051667,-3.2188509557815106,999.0
BQR,Score: Operating Leverage,42,75,75,15,75,75,45,75,35,75,42,75,52,25,65,42,52,75,75,75,42,75,58,75,75,15,15,75,75,15
BQR,Score: ICR,15,75,75,75,65,65,42,58,58,65,75,75,58,15,48,48,58,75,75,75,48,75,55,75,75,58,55,58,75,15
BQR,Score: Net Income,15,75,75,25,75,75,15,42,42,35,25,75,42,52,35,75,42,75,75,75,35,75,48,75,75,42,45,35,75,35
BQR,Score: FCF/Debt,35,15,65,15,75,75,55,55,75,75,25,75,55,15,75,15,55,75,75,55,75,75,58,75,35,15,15,75,75,15
BQR,BQR,29.45,60.0,72.5,26.5,73.5,73.5,39.55,59.2,50.2,63.5,38.45,75.0,51.15,27.75,57.45,44.4,51.15,75.0,75.0,70.0,49.4,75.0,55.05,75.0,65.0,28.2,28.5,62.45,75.0,20.0
