Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q),LTM (-19Q)
Liquidity & Cash Flow,CapEx,-112714000.0,-115531000.0,-129082000.0,-142129000.0,-148075000.0,-156288000.0,-160188000.0,-203485000.0,-220594000.0,-190560000.0,-208025000.0,-181687000.0,-205674000.0,-256016000.0,-188158000.0,-221183000.0,-214096000.0,-277978000.0,-347768000.0,-256491000.0
Liquidity & Cash Flow,FCF,-665697000.0,244149000.0,186970000.0,355319000.0,429263000.0,627995000.0,726754000.0,811096000.0,1062830000.0,-32144000.0,213712000.0,-479162000.0,-1012239000.0,-995673000.0,-1008300000.0,482829000.0,569184000.0,519402000.0,620781000.0,-256459000.0
BQR,Total Debt / Adj Ebitda,5.7889417321605166,9.624482399148304,13.13284412077117,17.62950259543991,999.0,999.0,999.0,999.0,16.363221613525837,20.76126984295924,9.768547129131933,0.0,9.219712899609878,6.498854234738008,23.169857117588098,6.032054594731161,0.0,3.730127011769534,3.1113087925136216,5.262408679671712
BQR,Adj Ebitda / Interest Expense,6.106149690131892,4.723010128353505,2.8920798308079454,1.856281217029633,-999.0,-999.0,-999.0,-999.0,2.3719332004673217,2.6831873317769355,5.397235665545025,6.6911066033203435,9.362983595098651,9.20451843992565,4.063815342837746,10.932580037664783,16.639023994811932,18.129241144698756,14.956759570895386,12.622289759100486
BQR,Net Income before extraordinary,223414000.0,90349000.0,-47238000.0,-189716000.0,-457236000.0,-667468000.0,-1170343000.0,-968882000.0,-765466000.0,-723014000.0,235551000.0,174544000.0,333476000.0,414318000.0,-93550000.0,542683000.0,1062696000.0,1306099000.0,1395619000.0,877818000.0
BQR,(NCO-CAPEX) / Total Debt (%),-12.469269209869593,3.5119322035361122,3.2946232284593986,6.621589588503165,7.463536706883059,8.511203774342338,10.205222489476427,11.036397841312933,14.476259019654767,-0.41196392239791096,2.717061578355046,999.0,-12.418627812900374,-13.278350553959749,-14.254747305869724,7.660169716192528,999.0,7.639971340656832,9.781752156408198,-3.7489045674512362
BQR,Score: Operating Leverage,65,75,75,75,75,75,75,75,75,75,75,15,75,75,75,65,15,48,45,65
BQR,Score: ICR,48,52,58,65,75,75,75,75,65,58,48,48,45,45,55,42,25,25,35,35
BQR,Score: Net Income,35,42,75,75,75,75,75,75,75,75,35,42,35,35,75,35,25,25,25,35
BQR,Score: FCF/Debt,75,75,75,65,58,58,58,58,55,75,75,15,75,75,75,58,15,58,58,75
BQR,BQR,57.45,63.3,72.45,71.0,70.75,70.75,70.75,70.75,68.5,72.45,60.95,26.7,60.5,60.5,72.0,52.3,19.0,41.3,41.75,55.5
