Header,Statement Date,2025-09-30,2025-11-30,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-11-30,2025-09-30,2025-11-30,2025-12-31,2025-09-30,2025-10-31,2025-11-30,2025-09-30,2024-09-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2022-04-30,2026-01-31,2025-03-31
Header,Filing Date,2025-12-05,2026-01-20,2025-11-13,2025-11-06,2026-02-09,2026-01-06,2025-12-09,2025-11-07,2025-12-11,2026-02-13,2025-10-31,2025-11-13,2025-12-09,2025-11-04,2024-11-19,2025-10-31,2025-11-06,2025-10-30,2025-10-30,2025-09-30,2022-05-16,2026-02-10,2025-05-02
Revenue & Margin,Segment-1,Timepieces,Course Materials Product,Heavy Fabrications,Aluminum,Steelmaking,Specialty Products and Solutions,U.S. Retail Segment,Refining,Wholesale Segment,-,Drilling And Downhole,Watches,New Video Game Hardware,Other revenue,Dayrate drilling,ToysConsumerProductsMember,Rocky Mountains,Chemical,Service Revenue,Broadcast,United States,Medical Segment,Flat Rolled Products
Revenue & Margin,Segment-1 %,6123.5%,6980.8%,5728.1%,8476.8%,9647.0%,6675.8%,8419.8%,9260.7%,10000.0%,-,4447.3%,4394.2%,5297.6%,10000.0%,9010.5%,8267.7%,10000.0%,10000.0%,3805.6%,7690.7%,9198.7%,7172.6%,6280.8%
Revenue & Margin,Segment-2,Jewelry And Other,General Merchandise Product,Gearing,Alumina,Other businesses,Montana/Renewables,Brand Portfolio,Logistics,-,-,Completions,Traditional Watches,Software,Bolzoni,Reimbursables,HalloweenMember,-,-,Cement,Digital Media,All Other,Industrial Segment,Us Steel Europe
Revenue & Margin,Segment-2 %,3876.5%,2428.0%,2466.2%,1523.2%,353.0%,2527.6%,988.5%,739.3%,-,-,3584.4%,4272.4%,3075.0%,896.3%,442.9%,1732.3%,-,-,1805.0%,1560.5%,801.3%,2827.4%,1924.2%
Revenue & Margin,Segment-3,-,Service and Other,Industrial Solutions,-,-,Performance Brands,Canada Retail Segment,Retail Segment,-,-,Production and Infrastructure,Jewelry,Collectibles,JAPIC,Early termination,-,-,-,Tool Revenue,Publishing,-,-,Mini Mill
Revenue & Margin,Segment-3 %,-,591.3%,1805.7%,-,-,796.6%,854.3%,482.1%,-,-,1968.3%,560.3%,1627.4%,629.9%,279.1%,-,-,-,1194.4%,748.8%,-,-,1546.7%
Revenue & Margin,Others,-,-,Corporate Segment,-,-,-,Corporate Segment,-,-,-,-,"Leathers, Smartwatches, Products Other",-,Nuvera,"Mobilization, Capital modification, Other",-,-,-,"Tools, Wireline, Coiled Tubing",-,-,-,"Tubular Products, Total Reportable Segments"
Revenue & Margin,Others %,-,-,0.0%,-,-,-,-262.5%,-,-,-,-,773.0%,-,8.6%,267.6%,-,-,-,3195.0%,-,-,-,248.3%
Revenue & Margin,Revenue Total,369338000,1677191000,153877000,2525100000,18610000000,0.0,2892654000,10667200000,442120000,337719000,790274000,1066179000,3808200000,3913600000,173785000,574298000,645200000,585065000,571171000,216775000,141847000,854400000,15193000000
Revenue & Margin,Rev-CoGS / Sale (%),37.068484694236716,20.1628198577264,10.687107234999383,9.520415033067998,-4.497581945190757,0.0,51.793543230541914,3.083283335833208,44.37754455803854,40.70158919101383,27.889187800686848,55.7391394878346,30.794075941389632,18.144419460343418,8.536985355467962,31.53589251573225,17.699938003719776,11.819028654935776,11.503385150856749,-0.21174074501210932,25.373113284031383,34.15262172284644,7.569275324162443
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.943915871099102,2.931627942196208,0.5107975850841906,7.175953427587026,-7.420741536808167,0.0,51.793543230541914,0.7068396580170991,1.3516692300732833,-1.452390893020529,1.865428952489896,2.872031807041782,5.826899847697075,2.238348323793949,-1.4299277843312137,1.4769335780378827,6.416615003099814,4.945604334561117,2.0354674869697513,-8.615845461884444,-2.984201287302516,18.679775280898877,4.699532679523465
Revenue & Margin,Op. Income / Rev (%),-1.3545497620066171,4.111398165146367,0.1884622133262281,6.90665716209259,-8.242880171950565,0.0,1.2490259809849362,-2.5029998500074995,-2.317696552972044,-1.7988327574107468,-11.314936338535748,-3.3968966749485783,4.639987395619978,1.2545993458708093,-9.634893690479615,1.41128821622224,-5.331680099194049,4.075615529898387,2.034417013468821,-8.61584592319225,-4.563367572102336,-2.762172284644195,-2.356348318304482
Revenue & Margin,Net Profit / Rev (%),-5.023109996805094,-0.5573604914407482,3.372823748838358,3.3741237970773432,-7.909725953788286,0.0,-0.917842230698867,-4.826946152692366,-1.7280376368406767,-5.511682789538048,-14.58127181205506,-6.3120733010123065,11.076098944383173,0.06899018806214227,-40.364243174036886,1.0583355679455615,-11.887786732796032,-0.11417534803825216,-7.168081012516392,-0.6149233075769808,-5.27681234005654,-7.92368913857678,0.6384519186467452
EBITDA,Net Income,-18552254,-9348000,5190000,85200000,-1472000000,-69000000.0,-26550000,-514900000,-7640000,-18614000,-115232000,-67298000,421800000,2700000,-70147000,6078000,-76700000,-668000,-40942000,-1333000,-7485000,-67700000,97000000
EBITDA,D & A,15232000,33136000,6516000,78600000,1235000000,85000000.0,59625000,393000000,14920000,10839000,38075000,9903000,20900000,46500000,48447000,10537000,96700000,81795000,45302000,10922000,5381000,26900000,701000000
EBITDA,Net Int Inc,-12443913,-10882000,-3288000,-39800000,-594000000,0.0,-69821000,-332000000,895000,-6291000,-20475000,-17859000,240300000,-34000000,-29886000,581000,-41800000,-31536000,-53426000,-4355000,-1462000,-28200000,-1000000
EBITDA,Tax Provision,0,6262000,37000,1599999,-579000000,-90000000.0,-9008000,-62200000,-1571000,64000,16360000,3510000,19800000,18700000,-3057000,2616000,600000,-718000,-454000,-16574000,1522000,9500000,-15000000
EBITDA,EBITDA,9123659,40932000,15031000,205199999,-222000000,-74000000.0,93888000,147900000,4814000,-1420000,-40322000,-36026000,222200000,101900000,5129000,18650000,62400000,111945000,57332000,-2630000,880000,-3100000,784000000
EBITDA,Stock-Based Comp,-997000,9311000,1841000,0,0,0.0,19114000,29800000,1877000,1963000,11446000,1805000,25000000,10000000,1834000,10387000,3000000,7105000,2477000,0,366000,14700000,-11000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.53,9.13,2.1,29.36,13.28,19.87,3.69,32.27,0.9992,1.46,26.71,2.59,22.29,36.86,0.27,18.73,1.92,7.88,0.6319,0.83348,11.71,11.65,42.26
Capital Structure,O/S Shares,19595000,34053847,23102000,93300000,492156862,86710696.0,49998000,60190054,53920000,21669663,12110000,52363000,447700000,17717000,14528000,11185000,19200000,71837000,41297925,31863215,2164746,41800000,225645000
Capital Structure,Market Capitalization,30002570,310911623,48514200,2739288000,6535843127,1722941529.0,184492620,1942333042,53876864,31637707,323458100,135620170,9979233000,653048620,3922560,209495050,36864000,566075560,26096158,26557352.0,25349175.0,486970000,9535757700
Capital Structure,Cash,2172000,11720000,1195000,151400000,57000000,0.0,51352000,630900000,14594000,4364000,31693000,83546000,7842700000,71100000,6077000,25887000,8300000,27951000,14389000,0,598000,119500000,594000000
Capital Structure,Debt,166973000,311949000,26816000,618500000,8171000000,0.0,1271433000,3656700000,213285000,75079000,225167000,339687000,4391500000,467800000,183927000,56617000,314600000,486362000,375907000,55947000,52006000,29300000,150000000
Capital Structure,Enterprise Value,194803570,611140623,74135200,3206388000,14649843127,1722941529.0,1404573620,4968133042,252567864,102352707,516932100,391761170,6528033000,1049748620,181772560,240225050,343164000,1024486560,387614158,82504352,76757175,396770000,9091757700
Capital Structure,netCommonStockIssuance,0,1000,0,0,951000000,0.0,535000,-15000000,0,0,-14825000,-30000,0,-100000,0,-404000,-300000,3000,0,0,0,-1500000,0
Capital Structure,netDebtIssuance,14598000,-47879000,-16149000,134600000,-802000000,0.0,-46926000,73700000,0,2951000,-20254000,-3317000,0,7500000,0,0,-16100000,-8443000,12081000,3082000,0,0,-18000000
Liquidity & Cash Flow,DSO,6.878499504518896,50.50338109970778,37.369465547157795,26.3982119520019,33.44035464803869,0.0,7.147593956968237,23.056296403929803,0.9892365194969692,26.617994545761416,75.34163309181372,48.90350025652353,4.9120975789086705,47.2664554374489,58.08001985211612,92.8331763300586,58.86275573465592,29.4096489278969,56.26394503572485,49.00286010840733,75.90217805099861,62.81981507490636,38.270585137892446
Liquidity & Cash Flow,DIO,174.47225819497567,100.91947891819551,123.93366355725013,85.92205760056025,89.34025813750192,0.0,160.59960998848288,29.797053190563247,120.54916171244072,93.71781715952103,166.10752746664608,137.80915713074802,67.92767027129577,86.70387857031372,3.5845774430792265,57.84549312288269,21.910310734463277,48.51752998550152,38.44881564968633,0.0,80.55577860489721,196.383753999289,55.87543616036459
Liquidity & Cash Flow,DPO,79.82397312727757,70.48766095702685,50.9207826415973,31.7160349279993,36.47747724584769,0.0,66.87336404564967,64.50158633431029,40.029806683528655,70.38792307077728,69.88009170464296,102.98081691036235,35.326266363118954,52.667785234899334,45.970311231904574,55.29705255501185,46.999764595103585,46.32628906643717,29.56331966280687,40.16807912205272,83.94093154851875,47.084740490579456,67.86406038595742
Liquidity & Cash Flow,CCC,101.52678457221698,80.93519906087646,110.38234646281063,80.60423462456285,86.30313553969293,0.0,100.87383989980147,-11.648236739817236,81.50859154840904,49.947888634505176,171.56906885381682,83.7318404769092,37.513501487085485,81.3025487728633,15.694286063290775,95.38161689792943,33.773301874015615,31.600889846961252,65.14944102260432,8.834780986354616,72.51702510737708,212.11882858361588,26.281960912299624
Liquidity & Cash Flow,OCF,-6850856,9315000,-1450000,40800000,-462000000,-7600000.0,137706000,-130500000,13917000,5251000,86507000,-42589000,583500000,110300000,36563000,29375000,21000000,81551000,9855000,-4633000,-7633000,16100000,573000000
Liquidity & Cash Flow,CapEx,-11033107,-13927000,-2925000,-78300000,-561000000,-39600000.0,-9382000,-600000000,-25318000,-7991000,-5481000,-1677000,-14800000,-56800000,-27876000,-11752000,-55000000,-84532000,-16559000,-6852000,-1100000,-29400000,-2006000000
Liquidity & Cash Flow,FCF,-17722324,-4612000,-4375000,-37500000,-1023000000,-47200000.0,128324000,-738900000,-11401000,-2733000,81026000,-46048000,568700000,53500000,8687000,17623000,-34000000,-2981000,-6704000,-11485000,-8733000,-13300000,-1433000000
BQR,Total Debt / Adj Ebitda,18.30110046857297,7.621152154793315,1.7840463043044374,3.014132568294993,999.0,999.0,13.542018149284253,24.724137931034484,44.30515164104695,999.0,999.0,999.0,19.763726372637265,4.590775269872424,35.860206667966466,3.035764075067024,5.041666666666667,4.344651391308232,6.556669922556338,999.0,59.097727272727276,999.0,0.1913265306122449
BQR,Adj Ebitda / Interest Expense,0.7331824804625362,3.761440911597133,4.5714720194647205,5.155778869346734,-999.0,-999.0,1.3446957219174747,0.4454819277108434,-999.0,-999.0,-999.0,-999.0,-999,2.9970588235294118,0.17161881817573446,-999.0,1.492822966507177,3.5497526636225265,1.0731104705574066,-999.0,0.6019151846785226,-999.0,784.0
BQR,Net Income before extraordinary,-18552254,-9348000,5190000,85200000,-1472000000,-69000000.0,-26550000,-514900000,-7640000,-18614000,-115232000,-67298000,421800000,2700000,-70147000,6078000,-76700000,-668000,-40942000,-1333000,-7485000,-67700000,97000000
BQR,(NCO-CAPEX) / Total Debt (%),-10.613886077389758,-1.4784467973931636,-16.314886634844868,-6.063055780113177,-12.51988740668217,999.0,10.092863721485914,-20.20674378538026,-5.345429823944487,-3.640165692137615,35.984846802595406,-13.556008914088558,12.950017078446999,11.436511329628047,4.723069478651857,31.126693395976474,-10.80737444373808,-0.6129179500043178,-1.783419835225202,-20.528357195202602,-16.792293196938815,-45.39249146757679,-955.3333333333334
BQR,Score: Operating Leverage,75,75,42,45,75,75,75,75,75,75,75,75,75,55,75,45,58,55,75,75,75,75,15
BQR,Score: ICR,75,58,52,48,75,75,75,75,75,75,75,75,75,58,75,75,75,58,75,75,75,75,15
BQR,Score: Net Income,65,65,55,42,75,75,75,75,65,65,75,75,35,58,75,55,75,65,75,65,65,75,42
BQR,Score: FCF/Debt,75,75,75,75,75,15,58,75,75,75,35,75,55,58,75,35,75,75,75,75,75,75,75
BQR,BQR,72.5,69.95,55.0,52.199999999999996,75.0,60.0,70.75,75.0,72.5,72.5,65.0,75.0,60.0,56.95,75.0,49.5,69.05,62.95,75.0,72.5,72.5,75.0,36.75
