Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Capital Structure,O/S Shares,91200000,90600000,89400000,90000000,90000000,89400000,89200000,87804878,87333333,88800000,88400000,88400000
Capital Structure,Market Capitalization,767904000,447564000,674970000,1678499999,1800000000,2133084000,3568892000,3064390242,2496859990,3020088000,2828800000,2828800000
Capital Structure,Cash,131300000.0,81200000.0,101600000.0,118500000.0,105300000.0,126200000.0,92800000.0,108600000.0,107500000.0,114300000.0,120000000.0,112000000.0
Capital Structure,Debt,1187300000.0,1241000000.0,1286300000.0,1198500000.0,1203900000.0,1203100000.0,1689100000.0,1672000000.0,1686100000.0,1678100000.0,1663400000.0,63400000.0
Capital Structure,Enterprise Value,1823904000,1607364000,1859670000,2758499999,2898600000,3209984000,5165192000,4627790242,4075459990,4583888000,4372200000,2780200000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-50000000,-39000000,89000000,-699999,0,-504000000,21300000,-7700000,-7700000,1631400000,0,0
Liquidity & Cash Flow,DSO,93.4156128845248,95.18241265776479,93.43815162347335,100.23828067052366,107.81430193167076,117.93390375661939,127.3166544986789,127.66904786465855,142.30069439174318,104.1288330414695,67.90944438388023,33.81750088121255
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,15.590953839422445,19.72638782239487,22.57828542094456,23.26617565442605,22.027809709081264,21.302250978686388,19.392183230874316,18.373771301025883,20.141156732191924,13.729723406467713,8.431602589841397,3.520247562245574
Liquidity & Cash Flow,CCC,77.82465904510236,75.45602483536992,70.85986620252879,76.97210501609761,85.78649222258949,96.631652777933,107.92447126780459,109.29527656363267,122.15953765955126,90.39910963500179,59.47784179403883,30.29725331896698
Liquidity & Cash Flow,OCF,1500000,-87700000,164200000,262800000,258100000,262400000,138800000,162400000,178300000,257300000,146100000,87500000
Liquidity & Cash Flow,CapEx,-14500000,-15400000,-19100000,-25500000,-38100000,-35000000,-33400000,-40300000,-49300000,-61200000,-59200000,-54400000
Liquidity & Cash Flow,FCF,-13000000,-103100000,145100000,237300000,220000000,227400000,105400000,122100000,129000000,196100000,86900000,33100000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,999.0,999.0,19.482122260668973,10.27027027027027,8.405284147557328,6.511835467597982,5.617696724079702,0.19800124921923798
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.8328530259365994,2.3357245337159256,5.666666666666667,322.125,2961.0,1601.0
BQR,Net Income before extraordinary,-1014900000,-1026900000,-790400000,-328500000,-303300000,-289400000,-120200000,-6700000,56000000,130600000,166200000,186200000
BQR,(NCO-CAPEX) / Total Debt (%),-1.0949212498947192,-8.30781627719581,11.280416699059318,19.799749687108886,18.273943018523134,18.901171972404622,6.240009472500148,7.302631578947368,7.650791767985291,11.6858351707288,5.224239509438499,52.208201892744476
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,65,15
BQR,Score: ICR,75,75,75,75,75,75,75,65,48,15,15,15
BQR,Score: Net Income,75,75,75,75,75,75,75,65,45,42,42,42
BQR,Score: FCF/Debt,75,75,58,48,48,48,65,58,58,58,75,15
BQR,BQR,75.0,75.0,70.75,68.25,68.25,68.25,72.5,66.75,59.2,53.5,54.25,21.75
