Header,Statement Date,2025-09-30,2025-03-31,2021-03-31,2017-11-30,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31,2022-09-30,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-09-30,2026-01-31
Header,Filing Date,2025-11-04,2025-05-14,2021-05-07,2017-11-30,2026-02-11,2025-10-30,2025-11-05,2026-01-14,2025-11-07,2025-11-06,2025-11-10,2026-02-05,2022-11-08,0,2026-02-19,2025-11-21,2026-02-13,2025-11-05,2025-11-05,2025-11-05,2026-02-05,2026-02-12,2025-11-06,2026-01-30
Revenue & Margin,Segment-1,Medical Services,Product,Property Tax Solutions,North America,Airline,Product,Clinical Services Segment,Admission,"Electric Energy Sales, Large Light And Power",UNITED STATES,Collaborative arrangements revenue,Passenger,Campaign-based loyalty programs,Concerts,-,Cargo Sales,-,Home,Home,-,Advertising Revenue,Passenger,-,Cloud
Revenue & Margin,Segment-1 %,9978.9%,7614.7%,3611.9%,4286.8%,9198.8%,8707.4%,10000.0%,5182.6%,3490.5%,9815.5%,9858.2%,9099.2%,6029.5%,6330.8%,-,9487.9%,-,4002.4%,4002.4%,-,8743.4%,9677.8%,-,8761.6%
Revenue & Margin,Segment-2,Other Operating,Other Revenue,Property Insights,UNITED STATES,Refinery,Contract Development And Manufacturing,-,"Food, Merchandise and Gaming","Electric Energy Sales, Commercial",Non-US,"Collaborative arrangement, co-promotion agreements","Product and Service, Other",Coalition loyalty program,Sponsorship and Advertising,-,Incentive Fees,-,Apparel,Apparel,-,Other Revenue,Cargo and Freight,-,Retail Products
Revenue & Margin,Segment-2 %,21.1%,2385.3%,2981.8%,4039.3%,1098.6%,1005.2%,-,3315.6%,3146.7%,184.5%,63.1%,839.9%,3674.5%,3274.0%,-,512.1%,-,1772.8%,1772.8%,-,1256.6%,322.2%,-,654.4%
Revenue & Margin,Segment-3,-,-,Valuations Solutions,EMEA,Intersegment Eliminations,Contracts and Grants,-,"Accommodations, Extra-Charge Products And Other","Electric Energy Sales, Residential",-,"Collaborative arrangement, collaboration and license agreements",Cargo and Freight,Other Revenue,Ticketing,-,Interest Income and Other Revenue,-,Beauty,Beauty,-,-,-,-,Client Devices
Revenue & Margin,Segment-3 %,-,-,1474.7%,1009.9%,-297.3%,287.5%,-,1501.8%,3144.9%,-,46.9%,60.9%,296.0%,395.2%,-,565.2%,-,1751.7%,1751.7%,-,-,-,-,584.0%
Revenue & Margin,Others,-,-,"Insurance And Spatial Solutions, Flood Data Services, Other Solutions","Asia Pacific, Other Geographic Region, Latin America",-,-,-,-,"Product and Service, Other, Electric Energy Sales, Other, Other Sales, Regulatory Revenue",-,"Collaborative arrangement, other agreements, Royalty",-,-,"Corporate Segment, Other Segments",-,-,-,"Accessories, Electronics, Jewelry, Other revenue","Accessories, Electronics, Jewelry, Other revenue",-,-,-,-,-
Revenue & Margin,Others %,-,-,1931.6%,664.0%,-,-,-,-,217.9%,-,31.8%,-,-,-29.9%,-,-,-,2473.0%,2473.0%,-,-,-,-,-
Revenue & Margin,Revenue Total,5885571000,103946000,1804618000,372510000,63364000000,788900000,2759900000,3100289000.0,2768021000,250425000,338987000,28063000000,727708000,18887901000.0,972022000.0,1778593000,11701427000,8531000000,8531000000,1446800000,5931447000,59070000000,411357500,10734000000
Revenue & Margin,Rev-CoGS / Sale (%),-1.9545427283096237,27.12273680564909,61.80731877882189,74.99744973289307,24.52970140773941,57.802002788693116,17.18902858799232,57.690008899170365,8.32930819527742,38.76170510132774,91.90765427582768,17.4393329294801,16.406580661474106,53.75513139337187,55.66530387172307,31.269829578773784,14.37775067946841,78.70120736138789,78.70120736138789,27.21868952170307,54.970835784252984,64.12392077196547,39.11524647052746,42.7240544065586
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-5.932032762836435,-118.9204009774306,20.63079277719717,24.967651875117447,19.05024935294489,32.91925465838509,-0.9819196347693756,43.86194319303781,8.32930819527742,-24.603374263751622,70.58146772590099,9.446602287709796,13.06595502591699,38.98216111996775,70.05952540168843,16.405439580612317,10.010497010321902,109.63544719259173,109.63544719259173,9.724910146530274,21.46922985234463,60.55358049771458,5.478324814790055,38.08459101919136
Revenue & Margin,Op. Income / Rev (%),-6.344652031213284,-208.1619302330056,20.63079277719717,3.9743899492631067,9.188182564232056,15.020915198377487,-21.830501105112504,-43.72979422240959,8.32930819527742,-166.30607966457023,36.34003663857316,1.5251398638777038,73.23088381603611,7.379713606080422,38.13339615770013,-15.693640984755927,-3.387253537538627,-38.79967178525378,-39.92497948657836,3.974288084047553,-8.971959118913142,7.97866937531742,-16.194672517214347,29.76523197316937
Revenue & Margin,Net Profit / Rev (%),-5.237469737430744,-192.39027956823736,17.793183931446986,4.088480846151781,7.9003850766997035,9.620991253644315,-36.7730714880974,-50.77855645070508,0.6195039705262352,-158.7832684436458,8.421856885367285,1.5714642055375407,-68.26735448833873,3.6958685880448017,-20.442027032309966,-71.82289596326984,-3.787153481365991,-39.737428203024265,-40.49935529246279,3.946640862593309,-7.763518750146465,5.676316234975453,-23.25544082701786,35.448108813117194
EBITDA,Net Income,-308255000,-199982000,321099000,15230000,5006000000,75900000,-1014900000,-1574282000.0,17148000,-397633000,28549000,441000000,-496787000,698072000.0,-198701000.0,-1277437000,-443151000,-3390000000,-3455000000,57100000,-460489000,3353000000,-95663000,3805000000
EBITDA,D & A,28119000,61318000,187242000,16705000,2443000000,98300000,79500000,365011000.0,262528999,46398000,1906000,1561000000,35097000.0,490608000.0,203145000.0,119169000,13700000,-324000000,-324000000,11500000,163633000,0,5395000.0,376000000
EBITDA,Net Int Inc,-6499000,-16427000,0,0,-679000000,-59400000,-90000000,-359958000.0,-77927000,16899000,-30379000,91000000,-67000,-124069000.0,-490839000.0,-736459000,-17601000,-249000000,-380000000,16400000,45159000,-610000000,-6471000,309000000
EBITDA,Tax Provision,1684000,170000,48107000,9396000,1178000000,30000000,5300000,-87894001.0,38476000,-697000,65016000,122000000,48025000,389196000.0,-38618000.0,77447000,5606000,140000000,140000000,400000,17710000,953000000,2493000,-328000000
EBITDA,EBITDA,-271953000,-122067000,556448000,41331000,9306000000,263600000,-840100000,-937207001.0,396079999,-368831000,125850000,2033000000,-413598000.0,1701945000.0,456665000.0,-344362000,-406244000,-3325000000,-3259000000,52600000,-324305000,4916000000,-81304000.0,3544000000
EBITDA,Stock-Based Comp,41881000,11636000,0,33998000,0,15200000,59600000,40962000.0,-600000,68835000,13427000,0,5185000.0,126912000.0,30864000.0,18356000,49084000,12000000,12000000,49400000,1016825000,0,0.0,210000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.03,4.88,79.25,27.65,69.4,8.82,8.42,15.34,11.04,2.17,1.31,41.33,1.21,142.5,5.0,2.21,14.37,10.1,10.1,89.51,8.07,111.82,48.08,187.7
Capital Structure,O/S Shares,414465000,9751000,73228000,53378000,649000000,53200000,91200000,101476000.0,172617000,364037000,162215000,516000000,24612000,232043356.0,600966000.0,281121646,283247000,0,0,15400000,1710465000,327000000,79588847,345000000
Capital Structure,Market Capitalization,426898950,47584880,5803319000,1475901700,45040600000,469224000,767904000,1556641840.0,1905691679,789960290,212501650,21326280000,29780520,33066178230.0,3004830000.0,621278837,4070259390,0,0,1378454000,13803452550,36565140000,3826631763,64756499999
Capital Structure,Cash,171684000,78744000,227102000,96894000.0,4310000000,245500000,131300000.0,91134000.0,1027210000,158134000,140407000,3231000000,73307000.0,7094200000.0,0.0,145237000,2774151000,1328000000,1328000000,653300000,1030435000,5942000000,378158000.0,1975000000
Capital Structure,Debt,37121000,188144000,1772215000,0.0,21083000000,663100000,1187300000.0,0.0,2994077000,52492000,598240000,5981000000,714821000.0,2624604000.0,0.0,9307086000,430095000,467000000,467000000,200400000,4700954000,36453000000,41515000.0,4655000000
Capital Structure,Enterprise Value,292335950,156984880,7348432000,1379007700,61813600000,886824000,1823904000,1465507840.0,3872558679,684318290,670334650,24076280000,671294520,28596582230.0,3004830000.0,9783127837,1726203390,-861000000,-861000000,925554000,17473971550,67076140000,3489988763,67436499999
Capital Structure,netCommonStockIssuance,-236000,0,0,1353000,0,-8700000,0,0.0,0,88522000,0,-37000000,0.0,0.0,0.0,0,12841000,0,0,0,-249919000,-27000000,314718000.0,-615000000
Capital Structure,netDebtIssuance,0,-28019000,0,0,-895000000,-6900000,-50000000,0.0,-63667000,0,0,828000000,0.0,0.0,0.0,0,-4670000,0,0,0,0,-482000000,-5000000.0,-32000000
Liquidity & Cash Flow,DSO,65.90702329476613,44.46798097088873,60.34909188537408,40.74711417143164,19.972638248847925,67.95458866776524,93.4156128845248,19.053225360603477,60.50076345157786,97.28122654986522,88.3452315280527,14.170527028471653,132.94215193456716,9739.458801893868,284.9612920283697,101.44319765679951,18.694579729463765,37.789971867307464,37.789971867307464,123.36535803151784,76.03958212051798,14.517817843236838,53.303802045665876,50.96364356251165
Liquidity & Cash Flow,DIO,0.0,283.766022467757,0.0,26.520569161557706,11.744709437276512,361.98483027936317,0.0,18.691776407070957,0.0,130.07629306972012,0.0,12.311601709180371,129.0927782599833,0.0,0.0,26.36495954778597,0.0,-128.70114006514657,-128.70114006514657,0.0,0.0,27.0925349188373,0.0,79.31685100845803
Liquidity & Cash Flow,DPO,58.53069510301208,159.01805869074494,100.89819356907398,42.04650139042486,38.392128980991615,65.81293181135477,15.590953839422445,28.338774612497065,30.956754460358848,70.94967754766687,36.44411636045494,6.167616211316846,59.169785933626606,20360.5955442297,0.0,174.7040045237764,41.22272900806216,-108.0223359702187,-108.0223359702187,28.24157169990503,23.907642650842014,81.02355841827105,6.0035675213811714,82.86414281067013
Liquidity & Cash Flow,CCC,7.376328191754055,169.2159447479008,-40.5491016836999,25.221181942564492,-6.674781294867177,364.12648713577363,77.82465904510236,9.406227155177373,29.544008991219012,156.40784207191848,51.90111516759775,20.31451252633518,202.8651442609239,-10621.136742335833,284.9612920283697,-46.89584731919092,-22.528149278598395,17.111167772379588,17.111167772379588,95.12378633161282,52.13193946967596,-39.413205656196915,47.300234524284704,47.416351760299534
Liquidity & Cash Flow,OCF,-68807000,-228786000,612200000,72407000,8342000000,13000000,1500000,365140000.0,421238000,-323139000,67683000,1843000000,14297000.0,1449046000.0,70703000.0,-134645000,1094854000,-172000000,-172000000,205600000,656170000,8431000000,-8530000.0,2671000000
Liquidity & Cash Flow,CapEx,-29581999,-1683000,-96380000,-11215000,-4501000000,-11600000,-14500000,-408075000.0,-341056000,-28684000,-35000,-2673000000,-21012000.0,-709797000.0,0.0,-1598413000,-36372000,30000000,30000000,-14300000,-218981000,-5874000000,-1458000.0,-365000000
Liquidity & Cash Flow,FCF,-98538000,-230469000,515820000,61192000,3841000000,1400000,-13000000,-42935000.0,80182000,-351823000,67648000,-830000000,-6715000.0,739249000.0,70703000.0,-1733058000,1058482000,-142000000,-142000000,195300000,437189000,2557000000,-12106000.0,2306000000
BQR,Total Debt / Adj Ebitda,999,999,3.1848708235091148,0.0,2.2655276165914464,2.515553869499241,999.0,999.0,7.559273398200549,999,4.753595550258244,2.941957697983276,999.0,1.5421203387888562,0.0,999.0,999.0,999.0,999.0,3.8098859315589353,999,7.4151749389747765,999,1.3134875846501128
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,13.705449189985272,4.437710437710438,-999.0,-999.0,5.082705596263169,-999,4.142664340498371,-999.0,-999,13.71772965043645,0.9303763555870662,-999.0,-999.0,-999.0,-999.0,-999.0,-999,8.059016393442622,-999,-999.0
BQR,Net Income before extraordinary,-308255000,-199982000,321099000,15230000,5006000000,75900000,-1014900000,-1574282000.0,17148000,-397633000,28549000,441000000,-496787000,698072000.0,-198701000.0,-1277437000,-443151000,-3390000000,-3455000000,57100000,-460489000,3353000000,-95663000,3805000000
BQR,(NCO-CAPEX) / Total Debt (%),-265.45082298429463,-122.49606684241857,29.105949334589766,999.0,18.218469857230943,0.2111295430553461,-1.0949212498947192,999.0,2.6780206387477676,-670.2411796083213,11.307836319871624,-13.877278047149305,-0.9393960166251412,28.166115726410535,999.0,-18.620844375994807,246.10423278577989,-30.406852248394003,-30.406852248394003,97.45508982035928,9.300005913693264,7.014511837160179,-29.16054438154884,49.53813104189044
BQR,Score: Operating Leverage,75,75,45,15,42,45,75,75,75,75,58,45,75,35,15,75,75,75,75,52,75,75,75,35
BQR,Score: ICR,75,75,75,75,35,55,75,75,48,75,55,75,75,35,75,75,75,75,75,75,75,45,75,75
BQR,Score: Net Income,75,75,35,52,15,42,75,75,52,75,48,35,75,35,75,75,75,75,75,45,75,25,75,25
BQR,Score: FCF/Debt,75,75,42,15,48,75,75,15,75,75,58,75,75,42,15,75,15,75,75,15,58,58,75,25
BQR,BQR,75.0,75.0,46.25,33.25,35.7,53.25,75.0,60.0,65.2,75.0,55.05,54.5,75.0,36.75,39.0,75.0,60.0,75.0,75.0,44.45,70.75,53.75,75.0,36.0
