Category,Metric,BE,BJRI,BYD,CZR,FNKO,MCS,MEC,MG,MMI,MRCY,MSGS,NTNX,PLAN,PLTR,RP,RUTH,SCHL,SP,WLFC,WWW
Capital Structure,O/S Shares,263653939,21980000,78616007,203000000,54649000,30768000,20427916,31547000,38826000,59415000,24165000,269077000,149877000,2386904000,99566000,32030543,25400000,19803578,7484307,81700000
Capital Structure,Market Capitalization,22908890759,863594200,6701228436,4748170000,187992560,477211680,382410587,399069550,1059561540,4409781300,6250277249,10582798410,9740506230,424272186000,8686137840,519535407,754634000,1035727129,1026023646,1487757000
Capital Structure,Cash,2454108000,23781000,353413000,887000000,39177000,23448000,1502000,28008000,161921000,334990000,81302000,603402000,304021000.0,1423796000,594734000,16000000,99300000,17800000,170967000,206300000
Capital Structure,Debt,2991952000,85000000,3265909000,26344000000,312235000,335482000,25572000,165143000,78255000,674715000,2028903000,1542990000,33709000.0,412812000,1182394000,251513000,386100000,555000000,2239451000,762000000
Capital Structure,Enterprise Value,23446734759,924813200,9613724436,30205170000,461050560,789245680,406480587,536204550,975895540,4749506300,8197878249,11522386410,9470194230,423261202000,9273797840,755048407,1041434000,1572927129,3094507646,2043457000
Capital Structure,netCommonStockIssuance,9088000,62266000,-185320000,-50000000,0,-1827000,-4607000,0,-17011000,-12273000,0,-332873000,0,-10928000,0,0,3000000,0,118000,-14500000
Capital Structure,netDebtIssuance,1458480000,-23000000.0,151400000,-27000000,-15793000,-3704000,-9217999,0,0,0,0,0,0,0,0,0,-50800000,0,-566317000,-27500000
Liquidity & Cash Flow,DSO,99.83032064324301,4.480760667731141,9.232040640871713,14.530406581925824,43.14029861914082,9.838100791342434,40.18034280778866,77.82144480017237,15.791689068219016,146.18762234163887,31.311616973162334,41.98470171989957,84.75654185998638,71.7829217467935,42.30458836721094,25.534589794863557,67.8293168353493,36.507064255695646,69.51418243302335,42.23410073093955
Liquidity & Cash Flow,DIO,172.9192063090364,13.026563645472738,3.218480622564938,1.8139462649479734,60.0868109199817,-0.0,41.93608501386313,5.139204889964255,0.0,185.36093245807706,0.0,0.0,0.0,0.0,0.0,8.133177099148718,133.00986630672324,0.0,147.74552009180502,106.56920818144998
Liquidity & Cash Flow,DPO,43.0730941601451,29.79618192265343,20.686323229268393,15.007571051405497,39.46634760618327,-661.3003949528108,36.73097809825863,11.406579334877087,8.964100419566151,48.063934813589604,4.442942858797987,83.28380772359253,20.528741849567563,10.252742730718204,30.19573719572772,7.67335842853104,72.75131765008356,32.60754999363138,94.16763873213239,89.00478432563791
Liquidity & Cash Flow,CCC,229.67643279213434,-12.288857609449554,-8.235801965831742,1.3367817954682994,63.76076193293925,671.1384957441533,45.385449723393165,71.55407035525954,6.827588648652865,283.48461998612635,26.868674114364346,-41.29910600369296,64.22780001041882,61.5301790160753,12.10885117148322,25.994408465481236,128.087865491989,3.8995142620642653,123.09206379269597,59.79852458675161
Liquidity & Cash Flow,OCF,117297000,110514000,976679000,1325000000,26576000,84200000,38562000,843000,66657000,118686000,3477000,832206000,-14523000,2135473000,276503000,80138000,86300000,62700000,277039000,140000000
Liquidity & Cash Flow,CapEx,-56759000,-69612000,-673215000,-809000000,-36059000,-83211000,-11648000,-19408000,-7872000,-22462000,-3957000,-55092000,-22421000,-33882000,-63585000,-45169000,-41300000,-20300000.0,-688721000,-14500000
Liquidity & Cash Flow,FCF,60538000,40902000,388464000,520000000,-9483000,989000,26914000,-18716000,58785000,96224000,2768000,777114000,-36944000,2101590999,212918000,34969000,45000000,42400000,-411682000,125500000
BQR,Total Debt / Adj Ebitda,999.0,0.6577878208650296,1.171208903443938,8.211970074812967,21.334813802528185,9.063651591289782,0.7451917472898939,2.7342914383164727,4.924485557862941,10.285446424488178,138.78534783500925,4.998250762861752,999,0.2851596930754076,5.805782242779562,3.496149569085349,4.881163084702908,6.537043232025174,5.517057800420779,4.354285739167347
BQR,Adj Ebitda / Interest Expense,-999.0,27.23308746048472,18.247395560674274,1.3923611111111112,0.8043860613389029,3.2264644351464433,3.359373470386686,4.124632930410435,20.55756791720569,2.572812487743656,0.8007339650544997,-999.0,-999,-999,-999,50.1673640167364,4.370165745856354,3.876747461187215,3.224969411914258,5.335365985834329
BQR,Net Income before extraordinary,-88435000,48808000,1842199000,-502000000,-68677000,12691000,-8110000,16837000,-1909000,-30410000,-16562000,267131000,-204362000,1625033000,46314000,39550000,-3400000,30300000,122631000,95800000
BQR,(NCO-CAPEX) / Total Debt (%),2.0233613373476578,48.12,11.89451390103031,1.9738839963559065,-3.03713549089628,0.29479972099844404,105.24792742061629,-11.333208189266273,75.11980065171555,14.261428899609465,0.1364284049064938,50.364163085956484,-109.59684357293304,509.09154748408474,18.007364719374422,13.903456282577839,11.655011655011656,7.63963963963964,-18.383166231366527,16.46981627296588
BQR,Score: Operating Leverage,75,25,35,75,75,75,25,45,58,75,75,58,75,15,65,48,58,75,65,55
BQR,Score: ICR,75,25,25,75,75,58,58,55,25,58,75,75,75,75,75,15,55,58,58,48
BQR,Score: Net Income,75,48,25,75,75,55,65,52,65,75,65,35,75,25,48,48,65,48,42,42
BQR,Score: FCF/Debt,75,25,58,75,75,75,15,75,15,55,75,15,75,15,48,55,58,58,75,52
BQR,BQR,75.0,30.75,36.75,75.0,75.0,67.45,37.45,55.75,44.05,67.45,72.5,44.05,75.0,26.5,58.0,44.8,59.3,61.45,60.7,49.95
