Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Revenue & Margin,Revenue Total,631510000,592176000,552022000,511549000,473736000,447755000,423472000,398007000,376036000,348022000,319030000,291634000,264922000,240642000,217731000,199906000
Revenue & Margin,Rev-CoGS / Sale (%),73.06725150828966,73.59889627408069,74.52837024611338,75.00825922834372,75.29003495617812,75.66101997744302,75.49637284165188,75.65997582957084,75.01834930698125,73.9163041416922,72.81446885872802,72.05709896651283,71.7112961550947,71.99242027576234,72.53859119739495,71.09091272898263
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-7.472407404474988,-7.97499392072627,-9.165576734260592,-10.645705494488308,-11.539971629768479,-11.894004533729383,-13.337835795518949,-15.401739165391565,-19.40904594240977,-22.99768405445633,-29.888411748111466,-35.892591398808094,-33.10408346607681,-32.93897158434521,-26.850563309772152,-17.86789791201865
Revenue & Margin,Op. Income / Rev (%),-34.94687336700923,-36.03320634405988,-34.69988514950491,-35.04434570295319,-34.09683874563048,-33.47276970664761,-34.099539048626596,-35.62047903680086,-39.15582550606857,-41.59622092856199,-48.227439425759336,-53.99301864665985,-52.197627981066134,-53.1108451558747,-47.11364022578319,-38.26398407251408
Revenue & Margin,Net Profit / Rev (%),-32.36084939272537,-33.4348234308719,-33.62891334041034,-35.47128427579763,-35.0102166607562,-34.38643901240634,-35.09110401632221,-36.81091036087305,-40.32273505728175,-42.87573774071754,-49.63796508165376,-55.41877833174459,-53.61049667449287,-54.444361333433065,-48.22234775939118,-39.42052764799456
EBITDA,Net Income,-204362000,-197993000,-185639000,-181453000,-165856000,-153967000,-148601000,-146510000,-151628000,-149217000,-158360000,-161620000,-142026000,-131016000,-104995000,-78804000
EBITDA,D & A,28722000,28511000,28362000,27608000,26731000,25831000,24920000,23531000,22056000,20341000,18372000,16573000,14864000,12937000,11119000,9628000
EBITDA,Net Int Inc,-31000,0,0,0,0,511000,511000,1691000,1691000,1180000,1180000,0,0,0,0,0
EBITDA,Tax Provision,-10667000,-9692000,-5912000,2184000,4327000,4091000,4199000,4738000,4388000,4453000,4500000,4158000,3743000,3209000,2414000,2312000
EBITDA,EBITDA,-186276000,-179174000,-163189000,-151661000,-134798000,-124556000,-119993000,-119932000,-126875000,-125603000,-136668000,-140889000,-123419000,-114870000,-91462000,-66864000
EBITDA,Stock-Based Comp,154003000,149545000,137716000,125683000,115204000,103626000,97164000,91097000,86237000,80046000,86507000,84327000,67148000,52806000,26917000,10112000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,64.99,48.28,65.73,57.2,59.65,71.08,55.35,45.41,40.86,57.59,47.2,56.94,39.37,31.39,23.0,24.3
Capital Structure,O/S Shares,149877000,148380000,146966000,145474000,144161000,142627000,140603000,138335000,136362000,134415000,132352000,129549000,122992000,119076000,120485824,121895648
Capital Structure,Market Capitalization,9740506230,7163786400,9660075180,8321112800,8599203650,10137927160,7782376050,6281792350,5571751320,7740959850,6247014400,7376520060,4842195040,3737795640,2771173952,2962064246
Capital Structure,Cash,304021000.0,299371000.0,312367000.0,312946000.0,327516000.0,320990000.0,296801000.0,304894000.0,303098000.0,309894000.0,310840000.0,355955000.0,332678000.0,326863000.0,374197000.0,86958000.0
Capital Structure,Debt,33709000.0,57246000.0,45154000.0,47881000.0,49371000.0,46112000.0,47896000.0,45926000.0,52976000.0,48251000.0,47531000.0,46238000.0,44940000.0,4512000.0,3993000.0,0.0
Capital Structure,Enterprise Value,9470194230,6921661400,9392862180,8056047800,8321058650,9863049160,7533471050,6022824350,5321629320,7479316850,5983705400,7066803060,4554457040,3415444640,2400969952,2875106246
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,84.75654185998638,86.06293145956607,84.14154463046762,88.85079190849751,90.10257559062431,92.96085470849013,90.14889414176143,88.96259990402179,92.59920592709209,99.75380507554121,104.06527207472651,102.31668375429477,103.44837820188583,79.06460115025641,76.2631584386238,55.33719598211159
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,20.528741849567563,21.346783633212016,22.862307889253177,22.106417927959637,21.144338373483684,25.451933400012848,24.428365264152035,27.51393548387097,29.785927187566532,27.699582493362854,29.887452438602562,33.312727785890466,36.41696022310289,30.288046381198257,34.49955679689591,21.88762090983025
Liquidity & Cash Flow,CCC,64.22780001041882,64.71614782635406,61.27923674121445,66.74437398053787,68.95823721714063,67.50892130847728,65.7205288776094,61.44866442015082,62.81327873952556,72.05422258217835,74.17781963612394,69.00395596840431,67.03141797878294,48.77655476905815,41.763601641727895,33.449575072281334
Liquidity & Cash Flow,OCF,-14523000,-15083000,12391000,352000,10682000,-4631000,-16506000,-26056000,-14009000,-14405000,-28772000,-26963000,-38951000,-45853000,-26438000,-23829000
Liquidity & Cash Flow,CapEx,-22421000,-24113000,-22130000,-18270000,-17479000,-15743000,-17447000,-18736000,-16394000,-15014000,-14086000,-13375000,-18235000,-22519000,-22179000,-22077000
Liquidity & Cash Flow,FCF,-36944000,-39196000,-9739000,-17918000,-6797000,-20374000,-33953000,-44792000,-30403000,-29419000,-42858000,-40338000,-57186000,-68372000,-48617000,-45906000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-204362000,-197993000,-185639000,-181453000,-165856000,-153967000,-148601000,-146510000,-151628000,-149217000,-158360000,-161620000,-142026000,-131016000,-104995000,-78804000
BQR,(NCO-CAPEX) / Total Debt (%),-109.59684357293304,-68.46941271005835,-21.568410329095983,-37.42194189762119,-13.767191266127888,-44.18372657876475,-70.88900952062802,-97.53081043417671,-57.390138930836606,-60.97075708275476,-90.1685215964318,-87.239932523033,-127.24966622162884,-1515.336879432624,-1217.5557225144003,999.0
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,15
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0
