Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Revenue & Margin,Op. Income / Rev (%),-13.896507428576419,-14.907008660262175,-28.61380105280933,-29.791236438919107,-24.59781793884541,-24.85149670884598,-12.357293607987856,-29.29628602970984,-33.15996248700986,-38.365346012382595,-40.81223320273668,-47.43208746851843
Revenue & Margin,Net Profit / Rev (%),-23.907977984390875,-26.084898963607973,-28.07234576783866,-30.97562049961263,-26.169686109550348,-26.675861465037876,-30.648858965972625,-31.189082571306336,-37.07618347569682,-44.25869149187066,-49.73393368808841,-57.62313622700081
EBITDA,Net Income,-219059000,-225992000,-229419000,-239094000,-189563000,-182775000,-198661000,-194652000,-219415000,-245838000,-255150000,-269523000
EBITDA,D & A,80862000.0,80604000.0,80445000.0,80221000.0,82828000.0,82585000.0,83958000.0,85476000.0,62484000.0,42498000.0,21249000.0,0.0
EBITDA,Net Int Inc,9158000,3879000,-1347000,-6752000,-9457000,-9499000,-9443000,-9378000,-13786000,-29536000,-42221000,-52918000
EBITDA,Tax Provision,2253000,2053000,2146000,2318000,2457000,3086000,2488000,3038500,3326500,-4151500,-3666500,-13057000
EBITDA,EBITDA,-145102000.0,-147214000.0,-145481000.0,-149803000.0,-94821000.0,-87605000.0,-102772000.0,-96759500.0,-139818500.0,-177955500.0,-195346500.0,-229662000.0
EBITDA,Stock-Based Comp,237395000.0,213161000.0,187539000.0,163729000.0,99467000.0,93503000.0,96106000.0,102455000.0,72038000.0,52576000.0,26288000.0,0.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,94.36,116.71,115.61,102.77,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
Capital Structure,O/S Shares,91794000,91041726,90334000,64362000,88796666,26680000,88237000,27309000,82359322,32766000,27130000,89942000
Capital Structure,Market Capitalization,8661681840,10625479841,10443513740,6614482740,8968463266,2694680000,8911937000,2758209000,8318291522,3309366000,2740130000,9084142000
Capital Structure,Cash,493448000.0,471485000.0,420265000.0,441802000.0,133811000.0,128101000.0,146710000.0,146710000.0,0.0,0.0,202490000.0,0.0
Capital Structure,Debt,158095000.0,158469000.0,161623000.0,165410000.0,237153000.0,242526000.0,0.0,245959000.0,0.0,0.0,0.0,0.0
Capital Structure,Enterprise Value,8326328840,10312463841,10184871740,6338090740,9071805266,2809105000,8765227000,2857458000,8318291522,3309366000,2537640000,9084142000
Capital Structure,netCommonStockIssuance,4101000.0,17189000.0,648000.0,367236000.0,-5398000.0,-6782000.0,-5306000.0,-4514000.0,-9506000.0,-1243000.0,-1243000.0,0.0
Capital Structure,netDebtIssuance,-268000.0,-269000.0,-268000.0,-70268000.0,-450000.0,-450000.0,-450000.0,-450000.0,-450000.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,39.006614123299194,38.99172236836182,39.11891459322942,30.39022520398301,29.483877859244213,19.825902695681364,9.484912848820704,9.850887994449634,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,32.62588097987922,19.813836376366673,8.227854975739232,6.237779155640688,6.390690632675078,4.854416281718153,2.1901355421686746,2.250407005583608,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,CCC,6.380733143419974,19.177885991995147,30.891059617490185,24.152446048342323,23.093187226569135,14.971486413963211,7.29477730665203,7.6004809888660265,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,OCF,84977000.0,56731000.0,41707000.0,37053000.0,27488000.0,12372000.0,-35935000.0,-39702000.0,-45564000.0,-45982000.0,-22991000.0,0.0
Liquidity & Cash Flow,CapEx,-20509000.0,-15803000.0,-10663500.0,-3800000.0,-7930000.0,-9768000.0,-19319500.0,-28871000.0,-23744000.0,-20904000.0,-10452000.0,0.0
Liquidity & Cash Flow,FCF,79976000.0,48369000.0,27867000.0,23877000.0,7270000.0,-9507000.0,-61678000.0,-75269000.0,-73092000.0,-66886000.0,-33443000.0,0.0
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-219059000,-225992000,-229419000,-239094000,-189563000,-182775000,-198661000,-194652000,-219415000,-245838000,-255150000,-269523000
BQR,(NCO-CAPEX) / Total Debt (%),50.58730510136311,30.52268898017909,17.24197669886093,14.435040203131612,3.065531534494609,-3.919992083323025,999.0,-30.602254847352608,999.0,999.0,999.0,999.0
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,15,35,48,55,75,75,15,75,15,15,15,15
BQR,BQR,60.0,65.0,68.25,70.0,75.0,75.0,60.0,75.0,60.0,60.0,60.0,60.0
