Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Capital Structure,O/S Shares,37349449,37156979,37019027,37092390,36766309,37459853,37466102,37472351,37472351,37468078,29964395,37472351
Capital Structure,Market Capitalization,88518194,54992328,50345876,133903527,79782890,165572550,405383223,386339938,386339938,386295884,308932912,386339938
Capital Structure,Cash,32773000.0,26850000.0,29195000.0,27386000.0,25117000.0,61181000.0,102558000.0,140603000.0,101897000.0,51648000.0,0.0,184441000.0
Capital Structure,Debt,41663000.0,42990000.0,44437000.0,45778000.0,46073000.0,47941000.0,48062000.0,48229000.0,48207000.0,48462000.0,0.0,18571000.0
Capital Structure,Enterprise Value,97408194,71132328,65587876,152295527,100738890,152332550,350887223,293965938,332649938,383109884,308932912,220469938
Capital Structure,netCommonStockIssuance,0,109000,0,0,-492000,-2032000,86537000,-1334000,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,12.10841717076958,10.082141376451078,9.084075293285906,9.729610861459031,11.215731663035585,16.48663931055445,20.824648736721823,17.743961703458755,18.095159675379428,10.775768802045768,5.164253031851095,6.758866279069767
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,27.98649867819227,37.28734393744168,0.0,40.43687776328763,24.66611204043136,18.660801387433608,14.259970485848344,9.353794370941602,12.834158767604134,10.37242742265231,6.164359977828914,10.157408944979519
Liquidity & Cash Flow,CCC,-15.87808150742269,-27.205202560990607,9.084075293285906,-30.707266901828604,-13.450380377395776,-2.1741620768791563,6.564678250873479,8.390167332517153,5.261000907775294,0.40334137939345815,-1.0001069459778194,-3.398542665909752
Liquidity & Cash Flow,OCF,-91622000,-97007000,-102065000,-109073000,-103389000,-100481000,-100264000,-91409000,-3084000,5704000,20262500,29724000
Liquidity & Cash Flow,CapEx,-823000,-1949000,-2487000,-3114000,-4517000,-5576000,-8061000,-9814000,-11585000,-12606000,-13050500,-13977000
Liquidity & Cash Flow,FCF,-92445000,-98956000,-104552000,-112187000,-107906000,-106057000,-108325000,-101223000,-14669000,-6902000,7212000,15747000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-88738000,-87118000,-77949000,-78058000,-73954000,-75001000,-77270000,-68255000,-63588000,-54149000,-50433500,-43593000
BQR,(NCO-CAPEX) / Total Debt (%),-221.887526102297,-230.18376366596883,-235.28140963611406,-245.06749967233168,-234.20658520174507,-221.22400450553806,-225.38595980192252,-209.87994774927947,-30.429190781421784,-14.242086583302381,999.0,84.79349523450541
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,15,15
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,60.0
