Category,Metric,THC,GT,NPTN,FTSI,CLF,OIS,LXU,DK,SALM,FOSL,FET,NINE,PHLT,PFMT,TEN,BNED,EBS,FARM,UNFI
Capital Structure,Cash,2883000000,801000000,77079000,87900000.0,57000000,67052000,27951000,630900000,0,83546000,31693000,14389000,9076000,9076000,0.0,11720000,245500000,4364000,38000000
Capital Structure,Debt,13171000000,7256000000,70911000,3700000.0,8171000000,126219000,486362000,3656700000,55947000,339687000,225167000,375907000,9082000,8536000,0.0,311949000,663100000,75079000,3469000000
Capital Structure,Enterprise Value,27758407395,8977880000,876206350,261725200.0,14649843127,410319760,1024486560,4968133042,82504352,391761170,516932100,387614158,314342000,195920000,662524918.0,611140623,886824000,102352707,5716355000
Capital Structure,netCommonStockIssuance,-202000000,-1000000,0,0.0,951000000,-4168999,3000,-15000000,0,-30000,-14825000,0,0,0,0.0,1000,-8700000,0,0
Capital Structure,netDebtIssuance,-27000000,-1856000000,0,0.0,-802000000,-6166000,-8443000,73700000,3082000,-3317000,-20254000,12081000,0,0,0.0,-47879000,-6900000,2951000,55000000
Liquidity & Cash Flow,DSO,56.50563115908024,57.18599562363238,76.9838445276914,54.76182760855477,33.44035464803869,108.07752786700135,29.4096489278969,23.056296403929803,49.00286010840733,48.90350025652353,75.34163309181372,56.26394503572485,76.60357681079232,49.31699876962951,9.905754149844153,50.50338109970778,67.95458866776524,26.617994545761416,11.923164740339494
Liquidity & Cash Flow,DIO,13.363133248190719,48.816822053793004,84.85673079288544,41.283493644795605,89.34025813750192,145.1090635774956,48.51752998550152,29.797053190563247,0.0,137.80915713074802,166.10752746664608,38.44881564968633,0.0,0.0,7.685546211258318,100.91947891819551,361.98483027936317,93.71781715952103,29.015099207791266
Liquidity & Cash Flow,DPO,52.471663473818644,97.77441478301697,93.01518282532575,49.621693576090685,36.47747724584769,37.334383329737875,46.32628906643717,64.50158633431029,40.16807912205272,102.98081691036235,69.88009170464296,29.56331966280687,4.776159888893711,3.6988684107332923,22.22778010910617,70.48766095702685,65.81293181135477,70.38792307077728,24.346155243840396
Liquidity & Cash Flow,CCC,17.397100933452315,8.228402894408418,68.8253924952511,46.423627677259695,86.30313553969293,215.85220811475907,31.600889846961252,-11.648236739817236,8.834780986354616,83.7318404769092,171.56906885381682,65.14944102260432,71.8274169218986,45.61813035889622,-4.636479748003701,80.93519906087646,364.12648713577363,49.947888634505176,16.592108704290364
Liquidity & Cash Flow,OCF,3540000000,796000000,-8989000,38000000.0,-462000000,73185000,81551000,-130500000,-4633000,-42589000,86507000,9855000,4806000,4806000,87805000.0,9315000,13000000,5251000,542000000
Liquidity & Cash Flow,CapEx,-1010000000,-826000000,-139000,-6500000.0,-561000000,-42385000,-84532000,-600000000,-6852000,-1677000,-5481000,-16559000,-5247000,-5247000,0.0,-13927000,-11600000,-7991000,-198000000
Liquidity & Cash Flow,FCF,2530000000,-30000000,-9128000,31500000.0,-1023000000,30800000,-2981000,-738900000,-11485000,-46048000,81026000,-6704000,-441000,-441000,-562217000.0,-4612000,1400000,-2733000,344000000
BQR,Total Debt / Adj Ebitda,3.7322187588551996,5.496969696969697,3.7204092339979016,999.0,999.0,1.4923913686077446,4.344651391308232,24.724137931034484,999.0,999.0,999.0,6.556669922556338,1.385084642366936,1.468938220616073,0.0,7.621152154793315,2.515553869499241,999.0,10.87460815047022
BQR,Adj Ebitda / Interest Expense,4.298416565164434,3.1578947368421053,18.965174129353233,-999.0,-999.0,12.609959743551514,3.5497526636225265,0.4454819277108434,-999.0,-999.0,-999.0,1.0731104705574066,7.996341463414634,78.52702702702703,2.420838435076672,3.761440911597133,4.437710437710438,-999.0,2.2464788732394365
BQR,Net Income before extraordinary,1407000000,-1721000000,-6593000,-20513000.0,-1472000000,23944000,-668000,-514900000,-1333000,-67298000,-115232000,-40942000,-885000,-885000,121844000.0,-9348000,75900000,-18614000,-101000000
BQR,(NCO-CAPEX) / Total Debt (%),19.208867967504364,-0.41345093715545755,-12.872473946214269,851.3513513513514,-12.51988740668217,24.402031389885835,-0.6129179500043178,-20.20674378538026,-20.528357195202602,-13.556008914088558,35.984846802595406,-1.783419835225202,-4.855758643470601,-5.1663542642924085,999.0,-1.4784467973931636,0.2111295430553461,-3.640165692137615,9.916402421447103
BQR,Score: Operating Leverage,48,65,48,75,75,35,55,75,75,75,75,75,35,35,15,75,45,75,75
BQR,Score: ICR,55,58,25,75,75,35,58,75,75,75,75,75,45,15,65,58,55,75,65
BQR,Score: Net Income,25,75,65,75,75,52,65,75,65,75,75,75,65,65,42,65,42,65,75
BQR,Score: FCF/Debt,48,75,75,15,75,42,75,75,75,75,35,75,75,75,15,75,75,75,58
BQR,BQR,43.3,68.95,55.55,60.0,75.0,41.0,62.95,75.0,72.5,75.0,65.0,75.0,54.0,49.5,29.25,69.95,53.25,72.5,69.25
