Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years)
EBITDA,EBITDA,-69533000,-61172000,-51805000,-65148000,-79664000,-89105000,-95930000,-83845000,-88015000
EBITDA,Stock-Based Comp,15278000,14718000,14439000,13314000,11976000,10352000,8944000,7933000,6791000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.27,8.24,7.24,6.15,7.19,8.97,4.29,13.5,13.5
Capital Structure,O/S Shares,41249097,41439468,40808328,40498283,40118959,39708401,39443373,39178344,29294613
Capital Structure,Market Capitalization,176133644,341461216,295452294,249064440,288455315,356184356,169212070,528907644,395477275
Capital Structure,Cash,43102000.0,49658000.0,61626000.0,88922000.0,96128000.0,98218000.0,116123000.0,67407000.0,54596000.0
Capital Structure,Debt,66796000.0,66375000.0,62966000.0,81414000.0,15868000.0,15868000.0,15868000.0,65041000.0,15868000.0
Capital Structure,Enterprise Value,199827644,358178216,296792294,241556440,208195315,273834356,68957070,526541644,356749275
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,18.1213113887259,16.959949854842964,16.6129596547532,16.346602112676056,17.806969067419978,18.950310149549843,14.954973372365593,11.516506244621612,10.554844064766165
Liquidity & Cash Flow,DIO,64.25623355316591,59.0120852799846,57.53278285456706,54.75863274581988,58.219802054035625,53.61179108045068,40.38025808402853,27.09857625967737,25.51672899380624
Liquidity & Cash Flow,DPO,65.34538757675189,59.8711369307202,56.00715076015244,52.531759661065756,47.86133661467655,48.50662248926472,38.99423259487024,25.854037579239392,25.760716372560477
Liquidity & Cash Flow,CCC,17.032157365139923,16.100898204107366,18.138591749167816,18.573475197430177,28.165434506779043,24.0554787407358,16.340998861523886,12.76104492505959,10.310856686011928
Liquidity & Cash Flow,OCF,-38994000,-36617000,-38126000,-47568000,-61608000,-65954000,-70940000,-44328000,-57027000
Liquidity & Cash Flow,CapEx,-13982000,-12132000,-12726000,-15935000,-23741000,-40483000,-54838000,-54813000,-49417000
Liquidity & Cash Flow,FCF,-52976000,-48749000,-50852000,-63503000,-85349000,-106437000,-125778000,-99141000,-106444000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-95228000,-85810000,-76269000,-89555000,-100168000,-107335000,-110057000,-93040000,-95261000
BQR,(NCO-CAPEX) / Total Debt (%),-79.31013833163662,-73.44482109227872,-80.76104564368072,-78.00009826319797,-537.8686664986136,-670.765061759516,-792.651877993446,-152.42846819698343,-670.809175699521
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
