Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Revenue & Margin,Op. Income / Rev (%),-4.316815598582048,-5.364365182553161,-5.970147542149165,-5.774362133048714,-5.455860119634523,-4.581509503068344,-2.7312473290974584,-2.370263462832798,-1.492243048488212,-0.2507411331427536,0.05975965343911168,0.9996865897275174,1.1610504478406245,1.0475873629256183,1.1598360487136627,1.1228342576889583
Revenue & Margin,Net Profit / Rev (%),-8.576234379303022,-9.279803322844451,-9.614780361045936,-9.438761716463349,-9.052305743293713,-5.369691442031821,-6.329628116444306,-3.9992413676660723,-5.257267761555653,-8.528576270003278,-6.162009548014063,-6.358656576084952,-3.493746846934709,-2.5601719747667975,-2.7959206901422164,-3.1436208002933492
EBITDA,Net Income,-92491000,-87647000,-83843000,-80298000,-75742000,-44862000,-53914000,-34582000,-46131000,-75748000,-54650000,-55185000,-29017000,-20008000,-20389000,-21947000
EBITDA,D & A,39309000,46000000,38952000,34745000,31361000,30045000,28258000,26584000,24847000,24299000,24070000,24210000,24897000,25153000,25272000,25501000
EBITDA,Net Int Inc,-51676000,-44542000,-38876000,-33856000,-29862000,-30776000,-30708000,-29158000,-26449000,-32050000,-33478000,-35497000,-38531000,-33741000,-33189000,-32549000
EBITDA,Tax Provision,4053999,4016000,-259000,3728000,-1773000,-7069000,3816000,-6358000,291000,5075000,-2664000,111000,-4640000,-5008000,-4011000,-3368000
EBITDA,EBITDA,2547999,6911000,-6274000,-7969000,-16292000,8890000,8868000,14802000,5456000,-14324000,234000,4633000,29771000,33878000,34061000,32735000
EBITDA,Stock-Based Comp,11180000,14207000,12484000,11608000,10919000,10332000,9615000,8708000,6297000,3857000,1856000,479000,784000,1090000,1088000,1223000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.86,5.73,7.22,6.42,6.5,10.0,10.31,10.21,8.86,10.87,12.24,13.36,10.33,9.93,9.78,9.74
Capital Structure,O/S Shares,95569000,94661000,94298000,89795000,88540000,88323000,88095000,88047000,83437000,75726000,75358000,74038000,49380487,34855000,34155882,34362775
Capital Structure,Market Capitalization,464465340,542407530,680831560,576483900,575510000,883230000,908259450,898959870,739251820,823141620,922381920,989147680,510100430,345935875,334044525,334693428
Capital Structure,Cash,48384000,43956000,33052000,26151000,22359000,24316000,13776000,37196000,44407000,25245000,23688000,16838000,90984000,14343000,11940000,19344000
Capital Structure,Debt,598744000,578513000,539805000,504994000,492325000,455902000,385344000,340151000,268105000,293252000,267427000,225335000,249491000,397627000,385321000,337808000
Capital Structure,Enterprise Value,1014825340,1076964530,1187584560,1055326900,1045476000,1314816000,1279827450,1201914870,962949820,1091148620,1166120920,1197644680,668607430,729219875,707425525,653157428
Capital Structure,netCommonStockIssuance,11916000,0,-1549000,-81000,-882000,637000,-1141000,0,118767000,0,0,-10354000,241218000,0,0,17000000
Capital Structure,netDebtIssuance,16134000,38565000,46009000,-2015000,49424000,76139000,45351000,8307000,-25336000,25975000,50348000,-20168000,-139929000,13622000,42136000,-7672000
Liquidity & Cash Flow,DSO,30.99662295297819,35.877060102150146,40.57330979034933,42.31673887949822,42.98084771995243,42.70592225665406,41.75901385582057,43.80171796686535,43.42291654083155,42.778340109461396,42.33988641155684,41.045424901367944,41.14957599925831,32.24428990032118,22.542813349770515,11.213723458197736
Liquidity & Cash Flow,DIO,74.4799289233503,80.58990683754585,84.79409600673964,82.22544737657687,81.73927253489104,81.74078150317293,78.03936410607965,76.60532525725765,74.72240812643774,74.36777270358947,74.90061008812685,76.68957232973527,76.58154031248233,58.5876097412199,38.92165293627554,18.022469745133623
Liquidity & Cash Flow,DPO,29.779196618474543,31.94430154444649,31.024791485706498,29.31408475763037,27.761498813646273,29.068454681638126,35.75814703380686,42.187469390514266,47.3092334860608,52.943420593814665,55.217785816263785,56.56819364095164,55.23714832352302,43.18713412939963,28.158032451661303,13.274249123879859
Liquidity & Cash Flow,CCC,75.69735525785394,84.5226653952495,94.34261431138246,95.22810149844472,96.9586214411972,95.37824907818886,84.04023092809337,78.21957383360872,70.8360911812085,64.2026922192362,62.022710683419916,61.16680359015158,62.49396798821761,47.64476551214144,33.30643383438476,15.961944079451502
Liquidity & Cash Flow,OCF,-52923000,-26625000,-43343000,-13243000,-4956000,-44087000,-30954000,-64064000,-72225000,-45322000,-43359000,-56628000,-48475000,-43315000,-34241000,2877000
Liquidity & Cash Flow,CapEx,-80029000,-116375000,-132092000,-159758000,-184621000,-214075000,-213943000,-164611000,-161872000,-103962000,-74308000,-63380000,-35623000,-31722000,-29636000,-25115000
Liquidity & Cash Flow,FCF,-151051000,-143080000,-175495000,-173041000,-189643000,-258240000,-245029000,-228848000,-234212000,-149260000,-117637000,-119937000,-84136000,-75153000,-64141000,-22559000
BQR,Total Debt / Adj Ebitda,234.9859634952761,83.70901461438287,999.0,999.0,999.0,51.282564679415074,43.453315290933695,22.98007026077557,49.13947947214076,999.0,1142.8504273504273,48.63695229872653,8.38033656914447,11.737026979160516,11.312674319603065,10.319474568504658
BQR,Adj Ebitda / Interest Expense,0.04930720256985835,0.15515693053747026,-999.0,-999.0,-999.0,0.2888614504808942,0.2887846815162173,0.5076479868303725,0.2062837914476918,-999.0,0.006989664854531334,0.13051807194974224,0.7726505930289896,1.0040603420171306,1.0262737654042002,1.0057144612737718
BQR,Net Income before extraordinary,-92491000,-87647000,-83843000,-80298000,-75742000,-44862000,-53914000,-34582000,-46131000,-75748000,-54650000,-55185000,-29017000,-20008000,-20389000,-21947000
BQR,(NCO-CAPEX) / Total Debt (%),-25.227977232339697,-24.732374207666897,-32.51081409027334,-34.26595167467336,-38.51988016046311,-56.64375238538107,-63.5870806344461,-67.27835578904663,-87.35831110945338,-50.89820359281437,-43.98845292360158,-53.226085605875696,-33.72306015046635,-18.900376483488294,-16.64612102636503,-6.67805380571212
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
