Category,Metric,HY,BBBY,OIS,MIK,LE,UFI,SALM,KALU,USX,FOSL,GAP,CULP,GT,GPRO,NINE,RILY,UPLD,UNFI,TCS,TITN,UFS,KLXE,WOOF,ALTG,DBI,WNC
Revenue & Margin,Others,Nuvera,-,-,Papercrafting,"Europe eCommerce, Third Party",Service,-,"Automotive Extrusions, Other Products",-,"Leathers, Smartwatches, Products Other",-,-,-,-,"Tools, Wireline, Coiled Tubing","Wealth And Asset Management Fees, Advertising Licensing And Other, Interest Income - Securities lending, Interest Income Loans, Commissions Fees And Reimbursed Expenses, Other Segments, Trading (Loss) Income, Fair Value Adjustment On Loans",Perpetual License,-,-,"Other Revenue, Rental Revenue","Wood, Newsprint, Tissue",-,-,-,Corporate Segment,Used Trailers
Revenue & Margin,Others %,8.6%,-,-,1376.2%,1369.2%,36.6%,-,866.4%,-,773.0%,-,-,-,-,3195.0%,1038.6%,107.8%,-,-,288.3%,2275.5%,-,-,-,-262.5%,20.6%
Revenue & Margin,Revenue Total,3913600000,1074337000,655345000,7219170000.0,1314437000.0,571888000,216775000,3209400000,2136708000,1066179000.0,15279000000,204919000,18280000000,650751000,571171000,960236000.0,235591000,31753000000,799372000,2545194000,9474000000,645200000,5998469000,1824900000,2892654000,1542754000
Revenue & Margin,Rev-CoGS / Sale (%),18.144419460343418,22.856515227531027,16.534649688332102,35.54301948838994,48.83862824920479,1.713097669473743,-0.21174074501210932,10.497289212936996,17.731622664397754,55.7391394878346,41.01053733883108,13.235961526261597,18.440919037199123,34.52626273336499,11.503385150856749,49.612595237004236,73.24855363744796,13.33732245772053,55.03094929519673,13.617822452826777,-6.174794173527549,17.699938003719776,37.73044421834972,25.842511918461287,51.793543230541914,3.806634110169217
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.238348323793949,-0.12742742733425358,2.5148585859356523,7.730140722548437,27.424212799852715,-7.14685392944073,-8.615845461884444,6.655449616750794,7.3083453611817815,2.872031807041782,41.01053733883108,-3.853717810451935,3.0743982494529543,8.417658981699605,2.0354674869697513,29.966799828375525,34.05860155948232,10.134475482631562,1.7547524806973473,13.617822452826777,69.45324044754064,6.416615003099814,1.8922495056655289,2.734396405282481,51.793543230541914,-18.688138225536928
Revenue & Margin,Op. Income / Rev (%),1.2545993458708093,-9.007322655740237,2.5148585859356523,7.288026185835768,4.209482843224894,-8.03479002881683,-8.61584592319225,4.6831183398766125,-2.5133055148387142,-3.3968966749485783,7.493945938870344,0.9247556351534021,3.5667396061269145,-17.548954976634686,2.034417013468821,22.301184292194836,-1.9996519391657575,-0.05353824835448619,-2.8825127725264332,-1.5843585989908826,-2.5543592991344735,-5.331680099194049,1.8922495056655289,-0.24110910186859552,1.2490259809849362,20.810706049052538
Revenue & Margin,Net Profit / Rev (%),0.06899018806214227,-13.497161505188782,3.6536480784930077,3.0983201669998075,0.8942231540956318,-9.485248859916627,-0.6149233075769808,2.8478843397519786,-2.666110671182024,-6.3120733010123065,5.569736239282676,-3.9030055778136727,-9.414660831509847,-18.682107288348384,-7.168081012516392,29.428078097467708,-18.434065817454826,-0.3180801814001826,-12.339061163012966,-2.42680911553304,-4.918724931391176,-11.887786732796032,-0.03660934148363524,-4.3399638336347195,-0.05755959751840351,13.709185002923343
EBITDA,Net Income,2700000,-145005000,23944000,223673000.0,11754000.0,-54245000,-1333000,91400000,-56967000,-67298000.0,851000000,-7998000,-1721000000,-121574000,-40942000,282579000.0,-43429000,-101000000,-98635000,-61767000,-466000000,-76700000,-2196000,-79200000,-1665000,211499000
EBITDA,D & A,46500000,19126000,48231000,194393000.0,23869000.0,24521000,10922000,88300000,88261000,6593000.0,497000000,4736000,824000000,6996000,45302000,27232000.0,38947000,318000000,44657000,38089000,423000000,96700000,198779000,101800000,59625000,58735000
EBITDA,Net Int Inc,-34000000,3022000,-6707000,0.0,-27917000.0,-9266000,-4355000,-45700000,-19946000,-17859000.0,23000000,338000,-418000000,-6005000,-53426000,-69216000.0,-10783000,-142000000,-21979000,-47021000,-373000000,-41800000,-128369000,-70200000,-58401000,-21316000
EBITDA,Tax Provision,18700000,763000,5693000,-334826000.0,6462000.0,-906000,-16574000,27200000,-20903000,3510000.0,317000000,-959000,1567000000,1329000,-454000,-6806000.0,-328000,-40000000,-28018000,-19737000,212000000,600000,-7402000,17500000,-9008000,71524000
EBITDA,EBITDA,101900000,-128138000,84575000,83240000.0,70002000.0,-21364000,-2630000,252600000,30337000,-39336000.0,1642000000,-4559000,1088000000,-107244000,57332000,372221000.0,5973000,319000000,-60017000,3606000,542000000,62400000,317550000,110300000,107353000,363074000
EBITDA,Stock-Based Comp,10000000,10873000,8071000,38198000.0,3012000.0,2808000,0,11600000,4879000,1224000.0,149000000,491000,-17000000,15685000,2477000,11018000.0,11264000,22000000,1295000,1089000,0,3000000,34879000,2900000,19114000,8895000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,36.86,9.79,6.06,15.5,15.74,3.44,0.83348,77.16,5.94,2.59,22.85,4.05,8.76,2.12,0.6319,4.67,2.37,37.65,9.34,16.4,55.49,1.92,3.18,7.24,3.69,8.65
Capital Structure,O/S Shares,17717000,60333000,57946000,147402000.0,30512000.0,17884615,31863215,16192000,52128000,52363000.0,372000000,12598000,288000000,158933000,41297925,30597066.0,28784856,60700000,3322940,22737000,50400000,19200000,280380000,32331693,49998000,40666000
Capital Structure,Market Capitalization,653048620,590660070,351152760,2284731000.0,480258880.0,61523075,26557352.0,1249374720,309640320,135620170.0,8500200000,51021900,2522880000,336937960,26096158,142888298.0,68220108,2285355000,31036259,372886799,2796696000,36864000,891608400,234081457,184492620,351760900
Capital Structure,Cash,71100000,167366000,67052000,1194389000.0,36344000.0,30192000,0,17200000,2963000,83546000.0,2262000000,10728000,801000000,58431000,14389000,0.0,23381000,38000000,66123000,48790000,75000000,8300000,237413000,14100000,51352000,31923000
Capital Structure,Debt,467800000,24772000,126219000,340938000.0,32903000.0,97744000,55947000,1073400000,851822000,339687000.0,5516000000,10111000,7256000000,204924000,375907000,0.0,364367000,3469000000,668579000,1005849000,174000000,311700000,1387526000,1220800000,1271433000,442852000
Capital Structure,Enterprise Value,1049748620,448066070,410319760,1431280000.0,476817880.0,129075075,82504352,2305574720,1158499320,391761170.0,11754200000,50404900,8977880000,483430960,387614158,142888298.0,409206108,5716355000,633492259,1329945799,2895696000,340264000,2041721400,1440781457,1404573620,762689900
Capital Structure,netCommonStockIssuance,-100000,72561000,-4168999,0.0,0.0,0,0,0,619000,0.0,6000000,-76000,-1000000,-538000,0,0.0,-1140000,0,0,0,0,-700000,740000,0,535000,-666000
Capital Structure,netDebtIssuance,7500000,-500000,-6166000,0.0,0.0,-14939000,3082000,0,20227000,0.0,0,-48999,-1856000000,0,12081000,0.0,-24874000,55000000,14952000,-112600000,0,-16100000,3252000,0,0,20000000
Liquidity & Cash Flow,DSO,47.2664554374489,6.522922974820751,108.07752786700135,0.7787224847177723,11.080412184075769,47.25792900008393,49.00286010840733,52.17291394030037,42.40220060485569,48.90350025652353,1.958897833627855,42.78912033535202,57.18599562363238,46.76423854899954,56.26394503572485,66.6744321187708,50.012797602624886,11.923164740339494,12.880239112703473,18.577048056061738,0.0,58.86275573465592,2.341585827983774,41.442270809359414,7.147593956968237,40.409257567959635
Liquidity & Cash Flow,DIO,86.70387857031372,7.13446465350919,145.1090635774956,64.48341125005076,159.6987623497362,78.46375631347948,0.0,75.42062663185379,1.9340275111145244,137.80915713074802,90.27807056473982,101.53318550494916,48.816822053793004,82.57048707844467,38.44881564968633,84.16924852057487,0.0,29.015099207791266,160.40068016802516,180.90675222437613,218.58177083333334,21.910310734463277,61.68974618630228,139.54851104707012,160.59960998848288,57.29215169265788
Liquidity & Cash Flow,DPO,52.667785234899334,39.82546052576012,37.334383329737875,43.10064542936467,67.6880788241802,20.89465273416582,40.16807912205272,40.25483028720627,24.129792471989692,102.98081691036235,60.55322866969932,58.482187522834714,97.77441478301697,59.90506570501161,29.56331966280687,50.33792583453287,23.384405147245495,24.346155243840396,59.57891131387877,7.231040610499256,0.0,46.999764595103585,44.46266317646618,25.31912731840686,66.87336404564967,44.16063016373691
Liquidity & Cash Flow,CCC,81.3025487728633,-26.16807289743018,215.85220811475907,22.16148830540387,103.09109570963176,104.82703257939758,8.834780986354616,87.3387102849479,20.206435643980523,83.7318404769092,31.683739728668357,85.84011831746645,8.228402894408418,69.4296599224326,65.14944102260432,100.50575480481281,26.62839245537939,16.592108704290364,113.70200796684986,192.2527596699386,218.58177083333334,33.773301874015615,19.56866883781987,155.67165453802266,100.87383989980147,53.5407790968806
Liquidity & Cash Flow,OCF,110300000,-71891000,73185000,1522185000.0,65824000.0,9202000,-4633000,175400000,45810000,-20424000.0,1223000000,-16183000,796000000,-61371000,9855000,-22965000.0,27823000,542000000,30800000,210370000,-94000000,21000000,256521000,31500000,137706000,11666000
Liquidity & Cash Flow,CapEx,-56800000,-23460000,-42385000,-208453000.0,-32791000.0,-8981000,-6852000,-99600000,-195945000,-1335000.0,-444000000,-1587000,-826000000,-3133000,-16559000,-6673000.0,-1585000,-198000000,-33127000,-39436000,-253000000,-55000000,-126909000,-41100000,-9382000,-45596000
Liquidity & Cash Flow,FCF,53500000,-95351000,30800000,1313732000.0,33033000.0,221000,-11485000,13000000,-150135000,-23541000.0,779000000,-17770000,-30000000,-64504000,-6704000,-33248000.0,26238000,344000000,-2327000,170934000,-347000000,-34000000,129612000,-9600000,128324000,-13045000
BQR,Total Debt / Adj Ebitda,4.590775269872424,999.0,1.4923913686077446,4.095843344545892,0.4700294277306363,999.0,999.0,4.249406175771972,28.078649833536605,999.0,3.35931790499391,999.0,6.669117647058823,999.0,6.556669922556338,0.0,61.00234388079692,10.87460815047022,999.0,278.93760399334445,0.3210332103321033,4.9951923076923075,4.369472524011966,11.067996373526745,11.843478989874527,1.2197293113800491
BQR,Adj Ebitda / Interest Expense,2.9970588235294118,-999.0,12.609959743551514,-999,2.5075043880073076,-999.0,-999.0,5.527352297592998,1.5209565827734883,-999.0,-999.0,-999,2.602870813397129,-999.0,1.0731104705574066,5.377672792417938,0.5539274784382825,2.2464788732394365,-999.0,0.07668913889538717,1.4530831099195711,1.492822966507177,2.4737280807671636,1.5712250712250713,1.8382048252598415,17.032933008069055
BQR,Net Income before extraordinary,2700000,-145005000,23944000,223673000.0,11754000.0,-54245000,-1333000,91400000,-56967000,-67298000.0,851000000,-7998000,-1721000000,-121574000,-40942000,282579000.0,-43429000,-101000000,-98635000,-61767000,-466000000,-76700000,-2196000,-79200000,-1665000,211499000
BQR,(NCO-CAPEX) / Total Debt (%),11.436511329628047,-384.91441950589376,24.402031389885835,385.3287107919915,100.39510075069143,0.22610083483385168,-20.528357195202602,1.2111049003167504,-17.625161125211605,-6.93020339312367,14.122552574329225,-175.74918405696766,-0.41345093715545755,-31.47703538872948,-1.783419835225202,999.0,7.200981428065659,9.916402421447103,-0.34805161394539763,16.994002081823414,-199.42528735632183,-10.907924286172602,9.341230362530144,-0.7863695937090432,10.092863721485914,-2.945679369179771
BQR,Score: Operating Leverage,55,75,35,52,15,75,75,52,75,75,48,75,75,75,75,15,75,75,75,75,15,58,55,75,75,35
BQR,Score: ICR,58,75,35,75,58,75,75,48,65,75,75,75,58,75,75,48,75,65,75,75,75,75,65,65,65,25
BQR,Score: Net Income,58,75,52,35,55,75,65,42,75,75,35,65,75,75,75,35,75,75,75,75,75,75,65,75,65,35
BQR,Score: FCF/Debt,58,75,42,15,15,75,75,75,75,75,55,75,75,75,75,15,58,58,75,52,75,75,58,75,58,75
BQR,BQR,56.95,75.0,41.0,41.95,31.45,75.0,72.5,54.65,73.5,75.0,50.55,72.5,72.45,75.0,75.0,24.95,70.75,69.25,75.0,69.25,54.0,69.05,59.75,73.5,66.75,43.5
