Category,Metric,AGL,BKD,CPE,DAL,FUN,HE,IOVA,LUV,LYV,MGI,MPW,NE,RCL,SNAP,VIA,WFRD
Capital Structure,Cash,171684000,279122000,3325000,4310000000,91134000.0,1027210000,158134000,3231000000,7094200000.0,1506400000,0.0,471399000,825000000,1030435000,378158000.0,1042000000
Capital Structure,Debt,37121000,1147892000,1918655000,21083000000,0.0,2994077000,52492000,5981000000,2624604000.0,829000000,0.0,1975791000,22635000000,4700954000,41515000.0,1751000000
Capital Structure,Enterprise Value,292335950,3397147540,4094456800,61813600000,1465507840.0,3872558679,684318290,24076280000,28596582230.0,371894000,3004830000.0,5990937280,97397320000,17473971550,3489988763,6328068000
Capital Structure,netCommonStockIssuance,-236000,0,0,0,0.0,0,88522000,-37000000,0.0,0,0.0,3000,-504000000,-249919000,314718000.0,-7000000
Capital Structure,netDebtIssuance,0,0,0,-895000000,0.0,-63667000,0,828000000,0.0,0,0.0,18525000,-10000000,0,-5000000.0,-126000000
Liquidity & Cash Flow,DSO,65.90702329476613,7.276495952413943,42.02074984245288,19.972638248847925,19.053225360603477,60.50076345157786,97.28122654986522,14.170527028471653,9739.458801893868,205.7006529850746,284.9612920283697,87.38891760876659,7.789448006690828,76.03958212051798,53.303802045665876,92.43747458316388
Liquidity & Cash Flow,DIO,0.0,0.0,50.84500781425193,11.744709437276512,18.691776407070957,0.0,130.07629306972012,12.311601709180371,0.0,0.0,0.0,0.0,9.914525432616674,0.0,0.0,120.21825396825396
Liquidity & Cash Flow,DPO,58.53069510301208,8.882867425426172,65.51166059082446,38.392128980991615,28.338774612497065,30.956754460358848,70.94967754766687,6.167616211316846,20360.5955442297,56.02081558773425,0.0,45.531975034194275,35.37073938122706,23.907642650842014,6.0035675213811714,94.45719954648526
Liquidity & Cash Flow,CCC,7.376328191754055,-1.6063714730122287,27.35409706588034,-6.674781294867177,9.406227155177373,29.544008991219012,156.40784207191848,20.31451252633518,-10621.136742335833,149.67983739734035,284.9612920283697,41.856942574572315,-17.666765941919557,52.13193946967596,47.300234524284704,118.19852900493258
Liquidity & Cash Flow,OCF,-68807000,218030000,1092529000,8342000000,365140000.0,421238000,-323139000,1843000000,1449046000.0,108700000,70703000.0,951678000,6465000000,656170000,-8530000.0,676000000
Liquidity & Cash Flow,CapEx,-29581999,-137872000,-1256921000,-4501000000,-408075000.0,-341056000,-28684000,-2673000000,-709797000.0,-63400000,0.0,-519523000,-5229000000,-218981000,-1458000.0,-149000000
Liquidity & Cash Flow,FCF,-98538000,80149000,-164392000,3841000000,-42935000.0,80182000,-351823000,-830000000,739249000.0,45300000,70703000.0,432155000,1236000000,437189000,-12106000.0,450000000
BQR,Total Debt / Adj Ebitda,999,4.318679292843787,2.5143727680765324,2.2655276165914464,999.0,7.559273398200549,999,2.941957697983276,1.5421203387888562,5.801259622113366,0.0,1.9839211087034667,3.2456266131344997,999,999,1.9762979683972912
BQR,Adj Ebitda / Interest Expense,-999,1.1041291072986332,19.172738693467338,13.705449189985272,-999.0,5.082705596263169,-999,-999.0,13.71772965043645,2.6710280373831776,0.9303763555870662,-999.0,7.204545454545454,-999,-999,9.736263736263735
BQR,Net Income before extraordinary,-308255000,-262692000,401201000,5006000000,-1574282000.0,17148000,-397633000,441000000,698072000.0,34100000,-198701000.0,216717000,4273000000,-460489000,-95663000,431000000
BQR,(NCO-CAPEX) / Total Debt (%),-265.45082298429463,6.9822770783314105,-8.56808545569683,18.218469857230943,999.0,2.6780206387477676,-670.2411796083213,-13.877278047149305,28.166115726410535,5.464414957780458,999.0,21.872505745800037,5.460569913850232,9.300005913693264,-29.16054438154884,25.69960022844089
BQR,Score: Operating Leverage,75,55,45,42,75,75,75,45,35,65,15,42,45,75,75,42
BQR,Score: ICR,75,75,25,35,75,48,75,75,35,58,75,75,48,75,75,45
BQR,Score: Net Income,75,75,35,15,75,52,75,35,35,48,75,35,15,75,75,35
BQR,Score: FCF/Debt,75,65,75,48,15,75,75,75,42,75,15,45,75,58,75,42
BQR,BQR,75.0,65.5,47.0,35.7,60.0,65.2,75.0,54.5,36.75,62.2,39.0,45.95,45.449999999999996,70.75,75.0,40.7
