Revenue & Margin,Others,Corporate Segment,-,"Automotive Extrusions, Other Products",-,Royalty Income,-,"Europe eCommerce, Third Party","Wealth And Asset Management Fees, Advertising Licensing And Other, Interest Income - Securities lending, Interest Income Loans, Commissions Fees And Reimbursed Expenses, Other Segments, Trading (Loss) Income, Fair Value Adjustment On Loans",-,-,-,-,-,-,-,-,-,Used Trailers,-,"Other, Non-retail tissue",-,-,-,Publishing,-
Revenue & Margin,Others %,-262.5%,-,866.4%,-,117.5%,-,1369.2%,1038.6%,-,-,-,-,-,-,-,-,-,20.6%,-,79.5%,-,-,-,885.8%,-
Revenue & Margin,Revenue Total,2892654000,792196000,3209400000,2084295000,273706000,15279000000,1314437000.0,960236000.0,1288160000.0,659066000,470314000,18280000000,799372000,31753000000,403729000,790274000,10667200000,1542754000,2875300000,1556100000,392868000,9693074000.0,339090000,6091900000,1243700000
Revenue & Margin,Rev-CoGS / Sale (%),51.793543230541914,13.35919393685401,10.497289212936996,37.68842702208661,19.599862626321674,41.01053733883108,48.83862824920479,49.612595237004236,28.614768351757547,36.883862921164194,40.9817696262497,18.440919037199123,55.03094929519673,13.33732245772053,32.326882636620105,27.889187800686848,3.083283335833208,3.806634110169217,13.122108997322018,7.268170426065162,38.46482788112038,16.33400302112622,30.827508920935443,24.31917792478537,55.74495457103803
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),51.793543230541914,4.535115047286277,6.655449616750794,18.96396623318676,-10.914996382980279,41.01053733883108,27.424212799852715,29.966799828375525,-0.515308657309651,2.9739054965663527,-3.5844138171519457,3.0743982494529543,1.7547524806973473,10.134475482631562,-16.55937522446988,1.865428952489896,0.7068396580170991,-18.688138225536928,3.262268285048517,0.46269519953730476,10.57123512222935,1.1819160773971187,4.03344244890737,6.845155041940938,25.922650156790223
Revenue & Margin,Op. Income / Rev (%),1.2490259809849362,3.683053183808047,4.6831183398766125,18.537970872645186,-18.326233257582956,7.493945938870344,4.209482843224894,22.301184292194836,-0.5153862874177121,-2.1152661493689555,7.676148275407494,3.0743982494529543,-2.8825127725264332,-0.05353824835448619,-29.46109890545391,-11.314936338535748,-2.5029998500074995,20.810706049052538,2.500608632142733,-0.771158665895508,10.57123512222935,1.1819160773971187,4.03344244890737,6.262414025180978,7.50180911795449
Revenue & Margin,Net Profit / Rev (%),-0.05755959751840351,0.04304490302904837,2.8478843397519786,12.739847286492555,-19.087268821289996,5.569736239282676,0.8942231540956318,29.428078097467708,-4.013321326543286,-5.488221210015386,4.372185391036627,-9.414660831509847,-12.339061163012966,-0.3180801814001826,-33.641378251252696,-14.58127181205506,-4.826946152692366,13.709185002923343,1.265954856884499,-10.577726367200052,1.6221733508455767,-0.16394180009355133,2.1663865050576545,4.461662207193158,-3.3528986089893063
EBITDA,Net Income,-1665000,341000,91400000,265536000,-52243000,851000000,11754000.0,282579000.0,-51698000.0,-36171000,20563000,-1721000000,-98635000,-101000000,-135820000,-115232000,-514900000,211499000,36400000,-164600000,6373000,-15891000.0,7346000,271800000,-41700000
EBITDA,D & A,59625000,39165000,88300000,71616000,11947000,497000000,23869000.0,27232000.0,25006000.0,22606000,9775000,1056000000,44657000,318000000,65423000,38075000,393000000,58735000,49300000,90900000,53543000,114143000.0,20011000,40100000,81500000
EBITDA,Net Int Inc,-58401000,-21518000,-45700000,-29641000,-5864000,23000000,-27917000.0,-69216000.0,-33418000.0,-20585000,-20115000,-418000000,-21979000,-142000000,3860000,-20475000,-332000000,-21316000,-25600000,-17100000,-30422000,-48291000.0,-7472000,-11000000,-72500000
EBITDA,Tax Provision,-9008000,1701000,27200000,82662000,1769000,317000000,6462000.0,-9194000.0,8743000.0,1608000,5127999,1567000000,-28018000,-40000000,-299000,16360000,-62200000,71524000,8800000,-16100000,3679000,2656000.0,2111000,94100000,14600000
EBITDA,EBITDA,107353000,62725000,252600000,449455000,-32663000,1642000000,70002000.0,369833000.0,15469000.0,8628000,55580999,1320000000,-60017000,319000000,-74556000,-40322000,147900000,363074000,120100000,-72700000,94017000,149199000.0,36940000,417000000,126900000
EBITDA,Stock-Based Comp,19114000,3124000,11600000,14208000,2921000,149000000,3012000.0,11018000.0,4081000.0,4134000,1533000,-17000000,1295000,22000000,54674000,11446000,29800000,8895000,15200000,4099999,2048000,13849000.0,4448000,11700000,39900000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,3.69,5.88,77.16,31.58,1.22,22.85,15.74,4.67,7.17,3.87,29.79,8.76,9.34,37.65,1.38,26.71,32.27,8.65,36.19,20.76,6.39,26.57,8.19,168.9,18.2
Capital Structure,O/S Shares,49998000,118245000,16192000,65405610,32355000,372000000,30512000.0,30597066.0,22170000.0,21562000,7465000,288000000,3322940,60700000,360401283,12110000,60190054,40666000,28200000,16142000,51273000,33747000.0,47180634,13755656,223400000
Capital Structure,Market Capitalization,184492620,695280600,1249374720,2065509163,39473100,8500200000,480258880.0,142888298.0,158958900.0,83444940,222382350,2522880000,31036259,2285355000,497353770,323458100,1942333042,351760900,1020557999,335107920,327634470,896657790.0,386409392,2323330298,4065880000
Capital Structure,Cash,51352000,2225000,17200000,150547000,17326000,2262000000,36344000.0,0.0,7253000.0,12125000,3319000,801000000,66123000,38000000,85151000.0,31693000,630900000,31923000,181700000,34400000,44394000,25504000.0,5267000,40200000,765500000
Capital Structure,Debt,1271433000,391243000,1073400000,387698000,35956000,5516000000,32903000.0,0.0,577698000.0,67418000,141228000,7256000000,668579000,3469000000,1557000.0,225167000,3656700000,442852000,578600000,347900000,441401000,1058052000.0,157624000,0,1329800000
Capital Structure,Enterprise Value,1404573620,1084298600,2305574720,2302660163,58103100,11754200000,476817880.0,142888298.0,729403900.0,138737940,360291350,8977880000,633492259,5716355000,413759770,516932100,4968133042,762689900,1417457999,648607920,724641470,1929205790.0,538766392,2283130298,4630180000
Capital Structure,netCommonStockIssuance,535000,0,0,0,0,6000000,0.0,0.0,0.0,0,0,-1000000,0,0,-876000,-14825000,-15000000,-666000,-1700000,-2100000,-1852000,0.0,-8000,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0.0,0,0.0,0.0,0.0,23571000,6387000,-1856000000,14952000,55000000,-179000,-20254000,73700000,20000000,0,6800000,-1000,-51241000.0,10089000,0.0,600000000
Liquidity & Cash Flow,DSO,7.147593956968237,26.97071968300774,52.17291394030037,0.9729183009122989,41.15261448415453,1.958897833627855,11.080412184075769,66.6744321187708,15.586794342317726,67.13195264207226,57.6037524930153,57.18599562363238,12.880239112703473,11.923164740339494,117.04022995623302,75.34163309181372,23.056296403929803,40.409257567959635,25.417217333843425,40.678699955015745,45.732307034423776,17.456915241748902,49.88731605178566,47.73477896879463,85.58585269759588
Liquidity & Cash Flow,DIO,160.59960998848288,55.688869989000025,75.42062663185379,97.4073306245895,109.02023879850948,90.27807056473982,159.6987623497362,84.16924852057487,164.2144746643757,186.86532548674566,237.57000010808048,48.816822053793004,160.40068016802516,29.015099207791266,2.873605498945889,166.10752746664608,29.797053190563247,57.29215169265788,63.90787630104084,68.56713437889813,10.276910842516298,24.324644686365534,290.19785169489717,36.370163109491585,82.82794331395348
Liquidity & Cash Flow,DPO,66.87336404564967,56.29231531328084,40.25483028720627,30.339381231438985,50.34507066254658,60.55322866969932,67.6880788241802,50.33792583453287,47.303770573810155,47.721124004452165,81.34294919137805,97.77441478301697,59.57891131387877,24.346155243840396,55.328595323846336,69.88009170464296,64.50158633431029,44.16063016373691,18.713921136909526,39.52269577269577,11.622153074224824,22.50604854098254,49.744646290667085,34.636365608190175,48.74182412790698
Liquidity & Cash Flow,CCC,100.87383989980147,26.36727435872693,87.3387102849479,68.04086769406283,99.82778262011743,31.683739728668357,103.09109570963176,100.50575480481281,132.49749843288328,206.27615412436575,213.8308034097177,8.228402894408418,113.70200796684986,16.592108704290364,64.58524013133257,171.56906885381682,-11.648236739817236,53.5407790968806,70.61117249797474,69.72313856121811,44.387064802715244,19.275511387131893,290.3405214560157,49.46857647009604,119.6719718836424
Liquidity & Cash Flow,OCF,137706000,50295453,175400000,555719000.0,22461000,1223000000,65824000.0,-22965000.0,47886000.0,24176000,23106000,796000000,30800000,542000000,-16330000,86507000,-130500000,11666000,171000000,-27800000,64315000,186342000.0,3205000,382800000,105100000
Liquidity & Cash Flow,CapEx,-9382000,-26386586,-99600000,-72322000,-10415000,-444000000,-32791000.0,-6673000.0,-4749000.0,-3844000,-7202000,-826000000,-33127000,-198000000,-29338000,-5481000,-600000000,-45596000,-35000000,-106900000,-46787000,-116499000.0,-20946000,-14500000,-26400000
Liquidity & Cash Flow,FCF,128324000,21534100,13000000,483397000,12046000,779000000,33033000.0,-33248000.0,43137000.0,20332000,15904000,-30000000,-2327000,344000000,-45668000,81026000,-738900000,-13045000,136000000,-134700000,17528000,69843000.0,-17741000,368300000,78700000
BQR,Total Debt / Adj Ebitda,11.843478989874527,6.237433240334795,4.249406175771972,0.8625958104815833,999.0,3.35931790499391,0.4700294277306363,0.0,37.34552976921585,7.813861845155309,2.5409402950817777,5.496969696969697,999.0,10.87460815047022,999,999.0,24.724137931034484,1.2197293113800491,4.817651956702748,999.0,4.694906240360786,7.091548870970985,4.267027612344342,0.0,10.479117415287629
BQR,Adj Ebitda / Interest Expense,1.8382048252598415,2.9150013941816155,5.527352297592998,15.163287338483856,-999.0,-999.0,2.5075043880073076,5.3431720989366625,0.46289424860853434,0.4191401505950935,2.763161769823515,3.1578947368421053,-999.0,2.2464788732394365,-999,-999.0,0.4454819277108434,17.032933008069055,4.69140625,-999.0,3.0904279797514955,3.0895819096726096,4.9437901498929335,37.90909090909091,1.7503448275862068
BQR,Net Income before extraordinary,-1665000,341000,91400000,265536000,-52243000,851000000,11754000.0,282579000.0,-51698000.0,-36171000,20563000,-1721000000,-98635000,-101000000,-135820000,-115232000,-514900000,211499000,36400000,-164600000,6373000,-15891000.0,7346000,271800000,-41700000
BQR,(NCO-CAPEX) / Total Debt (%),10.092863721485914,5.504021797195094,1.2111049003167504,124.68390345062394,33.502058070975636,14.122552574329225,100.39510075069143,999.0,7.467050258093329,30.158118010026996,11.2612229869431,-0.41345093715545755,-0.34805161394539763,9.916402421447103,-2933.0764290301863,35.984846802595406,-20.20674378538026,-2.945679369179771,23.50501209816799,-38.7180224202357,3.9709923629534143,6.6010933300064645,-11.255265695579354,999.0,5.9181831854414195
BQR,Score: Operating Leverage,75,65,52,25,75,48,15,15,75,75,45,65,75,75,75,75,75,35,58,75,55,75,55,15,75
BQR,Score: ICR,65,58,48,25,75,75,58,48,75,75,58,58,75,65,75,75,75,25,52,75,58,58,52,15,65
BQR,Score: Net Income,65,58,42,35,75,35,55,35,75,75,52,75,75,75,75,75,75,35,48,75,55,65,55,35,75
BQR,Score: FCF/Debt,58,65,75,15,35,55,15,15,58,35,58,75,75,58,75,35,75,75,42,75,75,65,75,15,65
BQR,BQR,66.75,62.2,54.65,25.0,65.0,50.55,31.45,24.95,70.75,65.0,51.949999999999996,68.95,75.0,69.25,75.0,65.0,75.0,43.5,50.599999999999994,75.0,60.45,67.45,59.55,20.0,71.0
